id,city,average_temperature,API-Call
18,Lisbon,21.2,1
39,Lisbon,21.2,2
63,Lisbon,21.2,3
84,Lisbon,21.2,4
105,Lisbon,21.2,5
125,Lisbon,21.2,6
141,Lisbon,21.2,7
1282,Lisbon,17.2,8
1308,Lisbon,17.2,9
1344,Lisbon,17.2,10
1351,Lisbon,17.2,11
1386,Lisbon,17.2,12
1388,Lisbon,17.2,13
1421,Lisbon,17.2,14
1431,Lisbon,17.2,15
1457,Lisbon,17.2,16
1479,Lisbon,17.2,17
1517,Lisbon,17.2,18
162,Lisbon,21.2,19
183,Lisbon,21.2,20
204,Lisbon,21.2,21
4314,Lisbon,18.1,22
4339,Lisbon,18.1,23
4356,Lisbon,18.1,24
4384,Lisbon,18.1,25
4402,Lisbon,18.1,26
4426,Lisbon,18.1,27
4443,Lisbon,18.1,28
4471,Lisbon,18.1,29
4488,Lisbon,18.1,30
4507,Lisbon,18.1,31
4522,Lisbon,18.1,32
4555,Lisbon,18.1,33
4561,Lisbon,18.1,34
4593,Lisbon,18.1,35
4603,Lisbon,18.1,36
4635,Lisbon,18.1,37
4653,Lisbon,18.1,38
4674,Lisbon,18.1,39
4681,Lisbon,18.1,40
4712,Lisbon,18.1,41
4730,Lisbon,18.1,42
4759,Lisbon,18.1,43
225,Lisbon,21.2,44
246,Lisbon,21.2,45
269,Lisbon,21.2,46
308,Lisbon,21.2,47
331,Lisbon,21.2,48
350,Lisbon,21.2,49
2820,Lisbon,18.1,50
2831,Lisbon,18.1,51
2846,Lisbon,18.1,52
2878,Lisbon,18.1,53
2894,Lisbon,18.1,54
2915,Lisbon,18.1,55
2944,Lisbon,18.1,56
2967,Lisbon,18.1,57
5844,Lisbon,18.2,58
5859,Lisbon,18.2,59
5877,Lisbon,18.2,60
5903,Lisbon,18.2,61
5917,Lisbon,18.2,62
5937,Lisbon,18.2,63
5964,Lisbon,18.2,64
5983,Lisbon,18.2,65
6005,Lisbon,18.2,66
6025,Lisbon,18.2,67
6044,Lisbon,18.2,68
5461,Lisbon,18.2,69
5477,Lisbon,18.2,70
5488,Lisbon,18.2,71
5510,Lisbon,18.2,72
5540,Lisbon,18.2,73
367,Lisbon,21.2,74
1528,Lisbon,17.2,75
1553,Lisbon,17.2,76
1564,Lisbon,17.2,77
1603,Lisbon,17.2,78
1609,Lisbon,17.2,79
1645,Lisbon,17.2,80
1664,Lisbon,17.2,81
1680,Lisbon,17.2,82
1706,Lisbon,17.2,83
1715,Lisbon,17.2,84
1748,Lisbon,17.2,85
1752,Lisbon,17.2,86
2979,Lisbon,18.1,87
3002,Lisbon,18.1,88
3015,Lisbon,18.1,89
3045,Lisbon,18.1,90
3064,Lisbon,18.1,91
3093,Lisbon,18.1,92
3106,Lisbon,18.1,93
3116,Lisbon,18.1,94
3137,Lisbon,18.1,95
3175,Lisbon,18.1,96
3198,Lisbon,18.1,97
3207,Lisbon,18.1,98
3240,Lisbon,18.1,99
3257,Lisbon,18.1,100
3277,Lisbon,18.1,101
3292,Lisbon,18.1,102
3322,Lisbon,18.1,103
3345,Lisbon,18.1,104
3358,Lisbon,18.1,105
3372,Lisbon,18.1,106
4768,Lisbon,18.1,107
4785,Lisbon,18.1,108
4802,Lisbon,18.1,109
4826,Lisbon,18.1,110
4862,Lisbon,18.1,111
4870,Lisbon,18.1,112
388,Lisbon,21.2,113
409,Lisbon,21.2,114
423,Lisbon,21.2,115
444,Lisbon,21.2,116
462,Lisbon,21.2,117
486,Lisbon,21.2,118
505,Lisbon,21.202439024390255,119
2518,Lisbon,17.66366723259754,120
2539,Lisbon,18.1,121
5556,Lisbon,17.75865771812083,122
5591,Lisbon,18.2,123
5609,Lisbon,18.2,124
5622,Lisbon,18.2,125
5653,Lisbon,18.2,126
5672,Lisbon,18.2,127
5696,Lisbon,18.2,128
5714,Lisbon,18.2,129
5738,Lisbon,18.2,130
5764,Lisbon,18.2,131
5785,Lisbon,18.2,132
5798,Lisbon,18.2,133
5826,Lisbon,18.2,134
2312,Lisbon,17.63187390542898,135
2332,Lisbon,19.0,136
2348,Lisbon,19.0,137
2389,Lisbon,19.0,138
2390,Lisbon,19.0,139
2416,Lisbon,19.0,140
2437,Lisbon,19.0,141
2453,Lisbon,19.0,142
2475,Lisbon,17.659589041095803,143
2510,Lisbon,18.2,144
4886,Lisbon,18.1,145
4927,Lisbon,18.1,146
4939,Lisbon,18.1,147
4957,Lisbon,18.1,148
4976,Lisbon,18.1,149
5009,Lisbon,18.1,150
5029,Lisbon,18.1,151
5053,Lisbon,18.1,152
5063,Lisbon,18.2,153
5084,Lisbon,18.2,154
5095,Lisbon,18.2,155
5121,Lisbon,18.2,156
5137,Lisbon,18.2,157
5156,Lisbon,18.2,158
5194,Lisbon,18.2,159
5215,Lisbon,18.2,160
5224,Lisbon,18.2,161
5245,Lisbon,18.2,162
5268,Lisbon,18.2,163
5282,Lisbon,18.2,164
5311,Lisbon,18.2,165
5339,Lisbon,18.2,166
5347,Lisbon,18.2,167
5383,Lisbon,18.2,168
5389,Lisbon,18.2,169
5418,Lisbon,18.2,170
5429,Lisbon,18.2,171
539,Lisbon,21.3,172
556,Lisbon,21.3,173
1782,Lisbon,17.2,174
1811,Lisbon,17.2,175
1821,Lisbon,17.2,176
1853,Lisbon,17.2,177
1863,Lisbon,17.2,178
1895,Lisbon,17.2,179
1900,Lisbon,17.2,180
1926,Lisbon,17.2,181
1941,Lisbon,17.2,182
1981,Lisbon,17.2,183
2009,Lisbon,17.2,184
3388,Lisbon,18.1,185
3429,Lisbon,18.1,186
3442,Lisbon,18.1,187
3451,Lisbon,18.1,188
3472,Lisbon,18.1,189
3526,Lisbon,18.1,190
3548,Lisbon,18.1,191
3571,Lisbon,18.1,192
3584,Lisbon,18.1,193
3597,Lisbon,18.1,194
3634,Lisbon,18.1,195
3637,Lisbon,18.1,196
3658,Lisbon,18.1,197
3698,Lisbon,18.1,198
3701,Lisbon,18.1,199
3737,Lisbon,18.1,200
3746,Lisbon,18.1,201
3781,Lisbon,18.1,202
3795,Lisbon,18.1,203
574,Lisbon,21.3,204
594,Lisbon,21.3,205
606,Lisbon,21.3,206
613,Lisbon,21.3,207
636,Lisbon,21.16727272727273,208
651,Lisbon,20.97586206896552,209
677,Lisbon,17.1,210
706,Lisbon,17.1,211
722,Lisbon,17.1,212
747,Lisbon,17.1,213
756,Lisbon,17.1,214
784,Lisbon,17.1,215
805,Lisbon,20.311428571428557,216
834,Lisbon,17.1,217
840,Lisbon,20.097333333333314,218
2561,Lisbon,18.1,219
2589,Lisbon,18.1,220
2607,Lisbon,18.1,221
2614,Lisbon,18.1,222
2637,Lisbon,18.1,223
2668,Lisbon,18.1,224
2690,Lisbon,18.1,225
2700,Lisbon,18.1,226
2733,Lisbon,18.1,227
2752,Lisbon,18.1,228
2768,Lisbon,18.1,229
2787,Lisbon,18.1,230
874,Lisbon,17.1,231
2010,Lisbon,17.2,232
2046,Lisbon,17.2,233
2064,Lisbon,17.2,234
2089,Lisbon,17.2,235
2110,Lisbon,17.2,236
2132,Lisbon,17.2,237
2157,Lisbon,17.2,238
2166,Lisbon,17.2,239
2194,Lisbon,17.2,240
2208,Lisbon,17.2,241
2241,Lisbon,17.2,242
2249,Lisbon,17.2,243
885,Lisbon,19.946835443037955,244
919,Lisbon,17.2,245
933,Lisbon,17.2,246
957,Lisbon,17.2,247
976,Lisbon,17.2,248
1007,Lisbon,17.2,249
1022,Lisbon,17.2,250
1040,Lisbon,17.2,251
1067,Lisbon,17.2,252
1076,Lisbon,17.2,253
1109,Lisbon,17.2,254
1133,Lisbon,17.2,255
1140,Lisbon,17.2,256
1169,Lisbon,17.2,257
1184,Lisbon,17.2,258
1203,Lisbon,17.2,259
3806,Lisbon,18.1,260
3826,Lisbon,18.1,261
3849,Lisbon,18.1,262
3881,Lisbon,18.1,263
3899,Lisbon,18.1,264
3926,Lisbon,18.1,265
3938,Lisbon,18.1,266
3955,Lisbon,18.1,267
3970,Lisbon,18.1,268
