id,city,average_temperature,API-Call
2,London,20.2,1
24,London,20.2,2
49,London,20.2,3
66,London,20.2,4
86,London,20.2,5
106,London,20.2,6
134,London,20.2,7
154,London,20.2,8
5847,London,24.2,9
5849,London,24.2,10
5887,London,24.2,11
5900,London,24.2,12
5919,London,24.2,13
5936,London,24.2,14
5959,London,24.2,15
5979,London,24.2,16
6015,London,24.2,17
6031,London,24.2,18
1285,London,18.1,19
1310,London,18.1,20
1331,London,18.1,21
1360,London,18.1,22
1366,London,18.1,23
1398,London,18.1,24
1412,London,18.1,25
1437,London,18.1,26
1455,London,18.1,27
1469,London,18.1,28
1490,London,18.1,29
1510,London,18.1,30
2808,London,22.3,31
2823,London,22.3,32
2842,London,22.3,33
2868,London,22.3,34
2899,London,22.3,35
2920,London,22.3,36
2927,London,22.3,37
2948,London,22.3,38
5458,London,22.1,39
5475,London,22.1,40
5505,London,22.1,41
5511,London,22.1,42
5529,London,22.1,43
4320,London,22.1,44
4337,London,22.1,45
4359,London,22.1,46
4374,London,22.1,47
4399,London,22.1,48
4432,London,22.1,49
4451,London,22.1,50
4473,London,22.1,51
4492,London,22.1,52
4510,London,22.1,53
4534,London,22.1,54
4543,London,22.1,55
4564,London,22.1,56
4585,London,22.1,57
4614,London,22.1,58
4621,London,22.1,59
4642,London,22.1,60
4665,London,22.1,61
4700,London,22.1,62
4715,London,22.1,63
169,London,20.2,64
202,London,20.2,65
220,London,20.2,66
240,London,20.2,67
262,London,20.2,68
288,London,20.2,69
304,London,20.2,70
327,London,20.2,71
339,London,20.2,72
353,London,20.2,73
4737,London,22.1,74
4763,London,22.1,75
4778,London,22.1,76
4783,London,22.1,77
4815,London,22.1,78
4837,London,22.1,79
4849,London,22.1,80
4873,London,22.1,81
2476,London,17.365646258503347,82
2500,London,22.4,83
2307,London,17.27286956521735,84
2330,London,21.3,85
2364,London,21.3,86
2385,London,21.3,87
2408,London,21.3,88
2430,London,21.3,89
2452,London,21.3,90
2468,London,21.3,91
2517,London,17.41548821548816,92
2543,London,22.2,93
6049,London,24.2,94
377,London,20.2,95
397,London,20.2,96
416,London,20.2,97
437,London,20.2,98
460,London,20.2,99
482,London,20.1,100
504,London,20.18095238095239,101
527,London,20.0,102
545,London,20.0,103
2982,London,22.3,104
3005,London,22.3,105
3023,London,22.3,106
3044,London,22.3,107
3065,London,22.3,108
3081,London,22.3,109
3095,London,22.3,110
3134,London,22.3,111
3151,London,22.3,112
3173,London,22.3,113
3188,London,22.3,114
3199,London,22.3,115
3237,London,22.3,116
3259,London,22.3,117
3270,London,22.3,118
3285,London,22.3,119
3320,London,22.3,120
3343,London,22.3,121
3354,London,22.3,122
3373,London,22.3,123
1534,London,18.1,124
1541,London,18.1,125
1578,London,18.1,126
1591,London,18.1,127
1616,London,18.1,128
1630,London,18.1,129
1654,London,18.1,130
1694,London,18.1,131
1726,London,18.1,132
1742,London,18.1,133
1761,London,18.1,134
1776,London,18.1,135
1808,London,18.1,136
1817,London,18.1,137
1851,London,18.1,138
1860,London,18.1,139
1891,London,18.1,140
1899,London,18.1,141
1924,London,18.2,142
1950,London,18.2,143
1968,London,18.2,144
1998,London,18.2,145
565,London,20.0,146
590,London,20.0,147
611,London,20.0,148
