id,city,average_temperature,API-Call
15,Nairobi,21.2,1
35,Nairobi,21.2,2
46,Nairobi,21.2,3
72,Nairobi,21.2,4
91,Nairobi,21.2,5
112,Nairobi,21.2,6
127,Nairobi,21.2,7
151,Nairobi,21.2,8
4313,Nairobi,24.3,9
4331,Nairobi,24.3,10
4353,Nairobi,24.3,11
4390,Nairobi,24.3,12
4410,Nairobi,24.3,13
4417,Nairobi,24.3,14
4437,Nairobi,24.3,15
4461,Nairobi,24.3,16
4484,Nairobi,24.3,17
4504,Nairobi,24.3,18
4527,Nairobi,24.3,19
4548,Nairobi,24.3,20
4567,Nairobi,24.3,21
4579,Nairobi,24.3,22
4609,Nairobi,24.3,23
4632,Nairobi,24.3,24
4650,Nairobi,24.3,25
4673,Nairobi,24.3,26
4695,Nairobi,24.3,27
4724,Nairobi,24.3,28
4750,Nairobi,24.3,29
4798,Nairobi,24.3,30
4821,Nairobi,24.3,31
4830,Nairobi,24.3,32
4853,Nairobi,24.3,33
4877,Nairobi,24.3,34
2816,Nairobi,24.2,35
2839,Nairobi,24.2,36
2859,Nairobi,24.2,37
2881,Nairobi,24.2,38
2887,Nairobi,24.2,39
2913,Nairobi,24.2,40
2935,Nairobi,24.2,41
2958,Nairobi,24.2,42
175,Nairobi,21.2,43
197,Nairobi,21.2,44
217,Nairobi,21.2,45
237,Nairobi,21.2,46
253,Nairobi,21.2,47
283,Nairobi,21.2,48
301,Nairobi,21.2,49
322,Nairobi,21.2,50
349,Nairobi,21.2,51
359,Nairobi,21.2,52
1301,Nairobi,15.4,53
1305,Nairobi,15.4,54
1339,Nairobi,15.4,55
1348,Nairobi,15.4,56
1382,Nairobi,15.4,57
1405,Nairobi,15.4,58
1419,Nairobi,15.4,59
1442,Nairobi,15.4,60
1476,Nairobi,15.4,61
1496,Nairobi,15.4,62
1513,Nairobi,15.4,63
6024,Nairobi,22.2,64
6053,Nairobi,22.2,65
4706,Nairobi,24.3,66
5888,Nairobi,22.2,67
5911,Nairobi,22.2,68
5923,Nairobi,22.2,69
5950,Nairobi,22.2,70
5962,Nairobi,22.2,71
5993,Nairobi,22.2,72
6008,Nairobi,22.2,73
2978,Nairobi,24.2,74
2999,Nairobi,24.2,75
3012,Nairobi,24.2,76
3038,Nairobi,24.2,77
3061,Nairobi,24.2,78
3075,Nairobi,24.2,79
3111,Nairobi,24.2,80
2318,Nairobi,16.405789473684255,81
2335,Nairobi,22.3,82
2354,Nairobi,22.3,83
2371,Nairobi,22.3,84
2398,Nairobi,22.3,85
2421,Nairobi,22.3,86
2444,Nairobi,22.3,87
2465,Nairobi,22.3,88
2534,Nairobi,16.602551020408196,89
2553,Nairobi,23.1,90
6062,Nairobi,22.2,91
380,Nairobi,21.2,92
403,Nairobi,21.2,93
428,Nairobi,21.2,94
447,Nairobi,21.2,95
470,Nairobi,21.2,96
489,Nairobi,21.2,97
509,Nairobi,21.202439024390255,98
533,Nairobi,21.3,99
560,Nairobi,21.3,100
2488,Nairobi,16.543396226415123,101
2513,Nairobi,24.1,102
1540,Nairobi,15.4,103
1547,Nairobi,15.4,104
1575,Nairobi,15.4,105
1583,Nairobi,15.4,106
1612,Nairobi,15.4,107
1627,Nairobi,15.4,108
1647,Nairobi,15.4,109
1669,Nairobi,15.4,110
1691,Nairobi,15.4,111
1719,Nairobi,15.4,112
1730,Nairobi,15.4,113
1755,Nairobi,15.4,114
2557,Nairobi,23.1,115
2596,Nairobi,23.1,116
2627,Nairobi,23.1,117
2645,Nairobi,23.1,118
2663,Nairobi,23.1,119
2687,Nairobi,23.1,120
2697,Nairobi,23.1,121
2734,Nairobi,24.2,122
2741,Nairobi,24.2,123
2766,Nairobi,24.2,124
2799,Nairobi,24.2,125
3124,Nairobi,24.2,126
3139,Nairobi,24.2,127
3163,Nairobi,24.2,128
3185,Nairobi,24.2,129
3215,Nairobi,24.2,130
3228,Nairobi,24.2,131
3250,Nairobi,24.2,132
3274,Nairobi,24.2,133
3291,Nairobi,24.2,134
3317,Nairobi,24.2,135
3337,Nairobi,24.2,136
3348,Nairobi,24.2,137
3369,Nairobi,24.2,138
580,Nairobi,21.3,139
600,Nairobi,21.3,140
617,Nairobi,21.3,141
646,Nairobi,21.22407407407408,142
664,Nairobi,21.153571428571432,143
682,Nairobi,17.3,144
