id,city,average_temperature,API-Call
3,Rome,34.3,1
37,Rome,34.3,2
53,Rome,34.3,3
74,Rome,34.3,4
94,Rome,34.3,5
120,Rome,34.3,6
137,Rome,34.3,7
157,Rome,34.3,8
178,Rome,34.3,9
194,Rome,34.3,10
1288,Rome,24.3,11
1322,Rome,24.3,12
1334,Rome,24.3,13
1352,Rome,24.3,14
1370,Rome,24.3,15
1395,Rome,24.3,16
1422,Rome,24.3,17
1430,Rome,24.3,18
1458,Rome,24.3,19
1480,Rome,24.3,20
1519,Rome,24.3,21
2814,Rome,34.0,22
2827,Rome,34.0,23
2850,Rome,34.0,24
2866,Rome,34.0,25
2896,Rome,34.0,26
2916,Rome,34.0,27
2945,Rome,34.0,28
2951,Rome,34.0,29
4328,Rome,34.3,30
4341,Rome,34.3,31
4362,Rome,34.3,32
4382,Rome,34.3,33
4401,Rome,34.3,34
4433,Rome,34.3,35
4449,Rome,34.3,36
4469,Rome,34.3,37
4487,Rome,34.3,38
4502,Rome,34.3,39
4524,Rome,34.3,40
4553,Rome,34.3,41
4562,Rome,34.3,42
4591,Rome,34.3,43
4612,Rome,34.3,44
4618,Rome,34.3,45
4639,Rome,34.3,46
4679,Rome,34.3,47
4697,Rome,34.3,48
4711,Rome,34.3,49
4734,Rome,34.3,50
4758,Rome,34.3,51
4769,Rome,34.3,52
4787,Rome,34.3,53
4809,Rome,34.3,54
223,Rome,34.3,55
244,Rome,34.3,56
270,Rome,34.3,57
309,Rome,34.3,58
330,Rome,34.3,59
351,Rome,34.3,60
5460,Rome,34.1,61
5472,Rome,34.1,62
5495,Rome,34.1,63
5519,Rome,34.1,64
5530,Rome,34.1,65
6040,Rome,36.3,66
365,Rome,34.3,67
1522,Rome,24.3,68
1551,Rome,24.3,69
1562,Rome,24.3,70
1594,Rome,24.3,71
1607,Rome,24.3,72
1643,Rome,24.3,73
1666,Rome,24.3,74
1681,Rome,24.3,75
1686,Rome,24.3,76
1717,Rome,24.3,77
1733,Rome,24.3,78
1759,Rome,24.3,79
383,Rome,34.3,80
408,Rome,34.3,81
424,Rome,34.3,82
450,Rome,34.3,83
472,Rome,34.3,84
492,Rome,34.3,85
503,Rome,34.299999999999976,86
2308,Rome,25.415881326352572,87
2328,Rome,35.1,88
2361,Rome,35.1,89
2380,Rome,35.1,90
2405,Rome,35.1,91
2427,Rome,35.1,92
2448,Rome,35.1,93
2472,Rome,35.1,94
2474,Rome,25.63139931740619,95
2507,Rome,35.3,96
4825,Rome,34.3,97
4864,Rome,34.3,98
4885,Rome,34.3,99
2521,Rome,25.722804054054095,100
2540,Rome,34.0,101
2988,Rome,34.0,102
3001,Rome,34.0,103
3017,Rome,34.0,104
3032,Rome,34.0,105
3058,Rome,34.0,106
3091,Rome,34.0,107
3104,Rome,34.0,108
3126,Rome,34.0,109
3147,Rome,34.0,110
3160,Rome,34.0,111
3192,Rome,34.0,112
3218,Rome,34.0,113
3226,Rome,34.0,114
3241,Rome,34.0,115
3281,Rome,34.0,116
3301,Rome,34.0,117
3324,Rome,34.0,118
3334,Rome,34.0,119
3355,Rome,34.0,120
3386,Rome,34.0,121
1772,Rome,24.3,122
1794,Rome,24.3,123
1825,Rome,24.3,124
1837,Rome,24.3,125
1867,Rome,24.3,126
1884,Rome,24.3,127
1911,Rome,24.3,128
1937,Rome,24.3,129
1948,Rome,23.8,130
1987,Rome,23.8,131
1990,Rome,23.8,132
540,Rome,34.3,133
562,Rome,34.3,134
2560,Rome,34.0,135
2574,Rome,34.0,136
2591,Rome,34.0,137
2613,Rome,34.0,138
2639,Rome,34.0,139
2667,Rome,34.0,140
2682,Rome,34.0,141
2705,Rome,34.0,142
2721,Rome,34.0,143
2737,Rome,34.0,144
2777,Rome,34.0,145
2789,Rome,34.0,146
4892,Rome,34.3,147
4921,Rome,34.3,148
4947,Rome,34.3,149
4962,Rome,34.3,150
4981,Rome,34.3,151
5010,Rome,34.3,152
5027,Rome,34.3,153
5051,Rome,34.3,154
5069,Rome,34.3,155
5085,Rome,34.3,156
5096,Rome,34.3,157
5122,Rome,34.3,158
5138,Rome,34.3,159
5154,Rome,34.3,160
5178,Rome,34.3,161
5200,Rome,34.3,162
5226,Rome,34.3,163
5247,Rome,34.3,164
5267,Rome,34.3,165
5296,Rome,34.3,166
5322,Rome,34.1,167
5332,Rome,34.1,168
5356,Rome,34.1,169
5377,Rome,34.1,170
5388,Rome,34.1,171
5408,Rome,34.1,172
5431,Rome,34.1,173
5559,Rome,27.4795454545454,174
5579,Rome,36.3,175
5613,Rome,36.3,176
5619,Rome,36.3,177
5639,Rome,36.3,178
5661,Rome,36.3,179
5688,Rome,36.3,180
5706,Rome,36.3,181
5723,Rome,36.3,182
5744,Rome,36.3,183
5765,Rome,36.3,184
5786,Rome,36.3,185
5813,Rome,36.3,186
5842,Rome,36.3,187
5850,Rome,36.3,188
5880,Rome,36.3,189
5896,Rome,36.3,190
5914,Rome,36.3,191
5934,Rome,36.3,192
5956,Rome,36.3,193
5975,Rome,36.3,194
578,Rome,34.3,195
603,Rome,34.3,196
623,Rome,34.3,197
635,Rome,34.28928571428568,198
656,Rome,34.15084745762709,199
692,Rome,30.3,200
707,Rome,30.3,201
728,Rome,30.3,202
750,Rome,30.3,203
763,Rome,30.3,204
791,Rome,30.3,205
802,Rome,33.5,206
827,Rome,30.3,207
841,Rome,33.25064935064937,208
875,Rome,30.3,209
3403,Rome,34.0,210
3421,Rome,34.0,211
3435,Rome,34.0,212
3456,Rome,34.0,213
3484,Rome,34.0,214
3507,Rome,34.0,215
3525,Rome,34.0,216
3542,Rome,34.0,217
3554,Rome,34.0,218
3576,Rome,34.0,219
3596,Rome,34.0,220
3635,Rome,34.0,221
3642,Rome,34.0,222
3668,Rome,34.0,223
3688,Rome,34.0,224
3702,Rome,34.0,225
3723,Rome,34.0,226
3752,Rome,34.0,227
3763,Rome,34.0,228
3789,Rome,34.0,229
888,Rome,33.03086419753089,230
904,Rome,24.3,231
928,Rome,24.3,232
950,Rome,24.3,233
974,Rome,24.3,234
988,Rome,24.3,235
1014,Rome,24.3,236
2017,Rome,23.8,237
2034,Rome,23.8,238
2059,Rome,23.8,239
2084,Rome,23.8,240
2104,Rome,23.8,241
2126,Rome,23.8,242
2151,Rome,23.8,243
2177,Rome,23.8,244
2180,Rome,23.8,245
2209,Rome,23.8,246
2221,Rome,23.8,247
2248,Rome,23.8,248
1048,Rome,24.3,249
1056,Rome,24.3,250
1086,Rome,24.3,251
1097,Rome,24.3,252
1126,Rome,24.3,253
1135,Rome,24.3,254
1163,Rome,24.3,255
1176,Rome,24.3,256
1210,Rome,24.3,257
1224,Rome,24.3,258
3805,Rome,34.0,259
3835,Rome,34.0,260
3860,Rome,34.0,261
3887,Rome,34.0,262
3893,Rome,34.0,263
3912,Rome,34.0,264
3936,Rome,34.0,265
3965,Rome,34.0,266
3981,Rome,34.0,267
3995,Rome,34.0,268
4012,Rome,34.0,269
4052,Rome,34.3,270
4067,Rome,34.3,271
4081,Rome,34.3,272
4098,Rome,34.3,273
4118,Rome,34.3,274
4139,Rome,34.3,275
4166,Rome,34.3,276
4181,Rome,34.3,277
4192,Rome,34.3,278
4223,Rome,34.3,279
4237,Rome,34.3,280
4260,Rome,34.3,281
4281,Rome,34.3,282
4298,Rome,34.3,283
6001,Rome,36.3,284
6034,Rome,36.3,285
1246,Rome,24.3,286
1270,Rome,24.3,287
2282,Rome,23.8,288
2287,Rome,23.8,289
9136,Rome,34.4,290
9147,Rome,34.4,291
9174,Rome,34.4,292
6096,Rome,36.3,293
6117,Rome,36.3,294
6143,Rome,36.3,295
6155,Rome,36.3,296
6183,Rome,36.3,297
6210,Rome,36.3,298
6218,Rome,36.3,299
6241,Rome,36.3,300
6259,Rome,36.3,301
6291,Rome,36.3,302
6301,Rome,36.3,303
6324,Rome,36.3,304
6357,Rome,36.3,305
6372,Rome,36.3,306
6391,Rome,36.3,307
6412,Rome,36.3,308
6426,Rome,36.3,309
6448,Rome,36.3,310
6479,Rome,36.3,311
6492,Rome,36.3,312
6510,Rome,36.3,313
6535,Rome,36.3,314
6553,Rome,36.3,315
6589,Rome,36.3,316
6611,Rome,36.15,317
6632,Rome,36.0,318
6642,Rome,36.0,319
6657,Rome,36.0,320
6679,Rome,36.0,321
6699,Rome,36.0,322
6722,Rome,36.0,323
6745,Rome,36.0,324
6757,Rome,36.0,325
6794,Rome,36.0,326
7135,Rome,36.0,327
7156,Rome,36.0,328
7158,Rome,36.0,329
7186,Rome,36.0,330
7207,Rome,36.0,331
7235,Rome,36.0,332
7253,Rome,36.0,333
7280,Rome,36.0,334
7295,Rome,36.0,335
7317,Rome,36.0,336
7346,Rome,36.0,337
7366,Rome,36.0,338
7382,Rome,36.0,339
7400,Rome,36.0,340
7422,Rome,36.0,341
7441,Rome,36.0,342
7462,Rome,36.0,343
7483,Rome,36.0,344
7503,Rome,36.0,345
7516,Rome,36.0,346
7550,Rome,36.0,347
7557,Rome,36.0,348
7579,Rome,36.0,349
7607,Rome,36.0,350
6067,Rome,36.3,351
7620,Rome,35.1,352
7657,Rome,34.2,353
7663,Rome,34.2,354
7684,Rome,34.2,355
7705,Rome,34.2,356
7728,Rome,34.2,357
7758,Rome,34.2,358
7767,Rome,34.2,359
7789,Rome,34.2,360
7815,Rome,34.2,361
7841,Rome,34.2,362
7867,Rome,34.2,363
7881,Rome,34.2,364
7897,Rome,34.2,365
7914,Rome,34.2,366
7936,Rome,34.2,367
7956,Rome,34.2,368
7977,Rome,34.2,369
8005,Rome,34.2,370
8023,Rome,34.2,371
8054,Rome,34.2,372
8062,Rome,34.2,373
8087,Rome,34.2,374
8104,Rome,34.2,375
8128,Rome,34.2,376
8165,Rome,34.2,377
8185,Rome,34.2,378
8198,Rome,34.2,379
8228,Rome,34.2,380
8239,Rome,34.2,381
8256,Rome,34.2,382
8272,Rome,34.2,383
8296,Rome,34.2,384
8317,Rome,34.2,385
8346,Rome,34.2,386
8356,Rome,34.2,387
8385,Rome,34.2,388
8398,Rome,34.2,389
8428,Rome,34.2,390
8446,Rome,34.2,391
8466,Rome,34.2,392
8500,Rome,34.2,393
8504,Rome,34.2,394
8533,Rome,34.2,395
8546,Rome,34.2,396
8570,Rome,34.2,397
8590,Rome,34.2,398
8609,Rome,34.2,399
8640,Rome,34.2,400
8668,Rome,34.2,401
8674,Rome,34.2,402
8701,Rome,34.2,403
8713,Rome,34.2,404
8741,Rome,34.2,405
8766,Rome,34.2,406
8789,Rome,34.2,407
8814,Rome,34.2,408
8835,Rome,34.2,409
8846,Rome,34.2,410
8870,Rome,34.2,411
8890,Rome,34.2,412
8909,Rome,34.2,413
8942,Rome,34.4,414
8956,Rome,34.4,415
8983,Rome,34.4,416
8998,Rome,34.4,417
9035,Rome,34.4,418
9043,Rome,34.4,419
9063,Rome,34.4,420
9080,Rome,34.4,421
9102,Rome,34.4,422
6803,Rome,36.0,423
6834,Rome,36.0,424
6856,Rome,36.0,425
6862,Rome,36.0,426
6904,Rome,36.0,427
6925,Rome,36.0,428
6947,Rome,36.0,429
6967,Rome,36.0,430
6988,Rome,36.0,431
7010,Rome,36.0,432
7030,Rome,36.0,433
7041,Rome,36.0,434
7058,Rome,36.0,435
7074,Rome,36.0,436
7100,Rome,36.0,437
10018,Rome,29.923406193078407,438
10038,Rome,34.2,439
10060,Rome,34.2,440
10088,Rome,34.2,441
10101,Rome,34.2,442
10124,Rome,34.2,443
10154,Rome,34.2,444
10163,Rome,34.2,445
10183,Rome,34.2,446
10214,Rome,34.2,447
10243,Rome,34.2,448
10249,Rome,34.2,449
10273,Rome,34.2,450
10288,Rome,34.2,451
10312,Rome,34.2,452
10333,Rome,34.2,453
10351,Rome,34.2,454
10392,Rome,34.2,455
10406,Rome,30.035309734513277,456
10428,Rome,29.0,457
10436,Rome,29.0,458
9199,Rome,34.4,459
9210,Rome,34.4,460
9230,Rome,34.4,461
9264,Rome,34.4,462
9278,Rome,34.4,463
9304,Rome,34.4,464
9324,Rome,34.4,465
9335,Rome,34.4,466
9373,Rome,34.4,467
9374,Rome,34.4,468
9395,Rome,34.4,469
9416,Rome,34.4,470
9438,Rome,34.4,471
9458,Rome,34.4,472
9497,Rome,34.4,473
9519,Rome,34.4,474
9539,Rome,34.4,475
9560,Rome,34.4,476
9582,Rome,34.4,477
9603,Rome,34.4,478
9624,Rome,34.4,479
9645,Rome,34.4,480
9664,Rome,34.4,481
9687,Rome,34.4,482
9695,Rome,34.4,483
9715,Rome,34.4,484
9745,Rome,34.4,485
10462,Rome,29.0,486
10481,Rome,29.0,487
10503,Rome,29.0,488
10534,Rome,29.0,489
10544,Rome,29.0,490
10562,Rome,29.0,491
10587,Rome,29.0,492
10603,Rome,29.0,493
10628,Rome,29.0,494
10665,Rome,29.0,495
10670,Rome,29.0,496
10690,Rome,29.0,497
10722,Rome,29.0,498
10731,Rome,29.0,499
10751,Rome,29.0,500
10777,Rome,29.0,501
10811,Rome,29.0,502
10833,Rome,29.0,503
10853,Rome,29.0,504
10875,Rome,29.0,505
10896,Rome,29.0,506
10907,Rome,29.0,507
10938,Rome,29.0,508
10949,Rome,29.0,509
10960,Rome,29.0,510
10982,Rome,29.0,511
11002,Rome,29.0,512
11023,Rome,29.0,513
11045,Rome,29.0,514
11070,Rome,29.0,515
11091,Rome,29.0,516
11112,Rome,29.0,517
11134,Rome,29.0,518
11154,Rome,29.0,519
11190,Rome,29.1,520
11210,Rome,29.1,521
11212,Rome,29.1,522
11234,Rome,29.1,523
11258,Rome,29.1,524
11281,Rome,29.1,525
11300,Rome,29.1,526
11335,Rome,29.1,527
11342,Rome,29.1,528
11379,Rome,29.1,529
11392,Rome,29.1,530
11410,Rome,29.1,531
11426,Rome,29.1,532
11443,Rome,29.1,533
11465,Rome,29.1,534
11492,Rome,29.1,535
11494,Rome,29.1,536
11519,Rome,29.1,537
11553,Rome,29.1,538
11570,Rome,29.1,539
11592,Rome,29.1,540
11617,Rome,29.1,541
9767,Rome,34.4,542
9773,Rome,34.4,543
9803,Rome,34.4,544
9824,Rome,34.4,545
9840,Rome,34.4,546
9857,Rome,34.4,547
9884,Rome,34.4,548
9904,Rome,34.4,549
9925,Rome,34.4,550
9952,Rome,34.4,551
9979,Rome,34.4,552
9994,Rome,34.4,553
11624,Rome,29.1,554
11646,Rome,29.1,555
11666,Rome,29.1,556
14688,Rome,29.823208191126007,557
14707,Rome,32.2,558
13663,Rome,29.2,559
13685,Rome,29.2,560
13706,Rome,29.2,561
13726,Rome,29.2,562
13748,Rome,29.2,563
13768,Rome,29.2,564
13789,Rome,29.2,565
13806,Rome,29.2,566
13826,Rome,29.2,567
13856,Rome,29.2,568
13886,Rome,29.2,569
13908,Rome,29.2,570
13928,Rome,29.2,571
13949,Rome,29.2,572
13952,Rome,29.2,573
13972,Rome,29.2,574
13993,Rome,29.2,575
14014,Rome,29.2,576
14035,Rome,29.2,577
14057,Rome,29.2,578
14077,Rome,29.2,579
14109,Rome,29.2,580
14129,Rome,29.2,581
14150,Rome,29.2,582
14172,Rome,29.2,583
14192,Rome,29.2,584
14213,Rome,29.2,585
14234,Rome,29.2,586
11684,Rome,29.1,587
11705,Rome,29.1,588
11732,Rome,29.1,589
11750,Rome,29.1,590
11784,Rome,29.1,591
11800,Rome,29.1,592
11820,Rome,29.1,593
11831,Rome,29.1,594
11853,Rome,29.1,595
11889,Rome,29.1,596
11890,Rome,29.1,597
11920,Rome,29.1,598
11947,Rome,29.1,599
