id,city,average_temperature,API-Call
13,Toronto,18.4,1
33,Toronto,18.4,2
44,Toronto,18.4,3
70,Toronto,18.4,4
89,Toronto,18.4,5
110,Toronto,18.4,6
130,Toronto,18.4,7
149,Toronto,18.4,8
4311,Toronto,19.3,9
4334,Toronto,19.3,10
4351,Toronto,19.3,11
4386,Toronto,19.3,12
4408,Toronto,19.3,13
4415,Toronto,19.3,14
4435,Toronto,19.3,15
4459,Toronto,19.3,16
4482,Toronto,19.3,17
4501,Toronto,19.3,18
4525,Toronto,19.3,19
4544,Toronto,19.3,20
4565,Toronto,19.3,21
4577,Toronto,19.3,22
4607,Toronto,19.3,23
4630,Toronto,19.3,24
4648,Toronto,19.3,25
4671,Toronto,19.3,26
4693,Toronto,19.3,27
4704,Toronto,19.3,28
4727,Toronto,19.3,29
4756,Toronto,19.3,30
4774,Toronto,19.3,31
4796,Toronto,19.3,32
4819,Toronto,19.3,33
4833,Toronto,19.3,34
4851,Toronto,19.3,35
4875,Toronto,19.3,36
2819,Toronto,19.3,37
2837,Toronto,19.3,38
2857,Toronto,19.3,39
2879,Toronto,19.3,40
2885,Toronto,19.3,41
2911,Toronto,19.3,42
2933,Toronto,19.3,43
2956,Toronto,19.3,44
173,Toronto,18.4,45
190,Toronto,18.4,46
215,Toronto,18.4,47
235,Toronto,18.4,48
255,Toronto,18.4,49
281,Toronto,18.4,50
299,Toronto,18.4,51
320,Toronto,18.4,52
347,Toronto,18.4,53
357,Toronto,18.4,54
1299,Toronto,19.3,55
1303,Toronto,19.3,56
1342,Toronto,19.3,57
1346,Toronto,19.3,58
1380,Toronto,19.3,59
1403,Toronto,19.3,60
1417,Toronto,19.3,61
1439,Toronto,19.3,62
1444,Toronto,19.3,63
1474,Toronto,19.3,64
1494,Toronto,19.3,65
1511,Toronto,19.3,66
6018,Toronto,19.1,67
6051,Toronto,19.1,68
5909,Toronto,19.1,69
5916,Toronto,19.1,70
5935,Toronto,19.1,71
5973,Toronto,19.1,72
5988,Toronto,19.1,73
5998,Toronto,19.1,74
2976,Toronto,19.3,75
2997,Toronto,19.3,76
3010,Toronto,19.3,77
3036,Toronto,19.3,78
3057,Toronto,19.3,79
3073,Toronto,19.3,80
3109,Toronto,19.3,81
2306,Toronto,19.12491289198609,82
2331,Toronto,18.2,83
2352,Toronto,18.2,84
2369,Toronto,18.2,85
2396,Toronto,18.2,86
2419,Toronto,18.2,87
2442,Toronto,18.2,88
2463,Toronto,18.2,89
2520,Toronto,19.100000000000037,90
2551,Toronto,19.3,91
6059,Toronto,19.1,92
378,Toronto,18.4,93
401,Toronto,18.4,94
426,Toronto,18.4,95
445,Toronto,18.4,96
468,Toronto,18.4,97
487,Toronto,18.4,98
501,Toronto,18.392857142857128,99
531,Toronto,18.3,100
558,Toronto,18.3,101
2480,Toronto,19.104088586030706,102
2511,Toronto,18.1,103
1538,Toronto,19.3,104
1545,Toronto,19.3,105
1573,Toronto,19.3,106
1586,Toronto,19.3,107
1610,Toronto,19.3,108
1625,Toronto,19.3,109
1650,Toronto,19.3,110
1667,Toronto,19.3,111
1689,Toronto,19.3,112
1722,Toronto,19.3,113
1728,Toronto,19.3,114
1753,Toronto,19.3,115
2556,Toronto,19.3,116
2581,Toronto,19.3,117
2594,Toronto,19.3,118
2625,Toronto,19.3,119
2643,Toronto,19.3,120
2666,Toronto,19.3,121
2685,Toronto,19.3,122
2695,Toronto,19.3,123
2731,Toronto,19.3,124
2739,Toronto,19.3,125
2764,Toronto,19.3,126
2796,Toronto,19.3,127
3122,Toronto,19.3,128
3143,Toronto,19.3,129
3161,Toronto,19.3,130
3183,Toronto,19.3,131
3213,Toronto,19.3,132
3225,Toronto,19.3,133
3248,Toronto,19.3,134
3271,Toronto,19.3,135
3289,Toronto,19.3,136
3315,Toronto,19.3,137
3335,Toronto,19.3,138
3346,Toronto,19.3,139
3367,Toronto,19.3,140
577,Toronto,18.3,141
595,Toronto,18.3,142
620,Toronto,18.3,143
631,Toronto,18.35535714285712,144
654,Toronto,18.383050847457604,145
680,Toronto,19.3,146
698,Toronto,19.3,147
723,Toronto,19.3,148
753,Toronto,19.3,149
758,Toronto,19.3,150
786,Toronto,19.3,151
806,Toronto,18.55890410958901,152
836,Toronto,19.3,153
843,Toronto,18.606410256410225,154
3389,Toronto,19.3,155
3414,Toronto,19.3,156
3439,Toronto,19.3,157
