id,city,average_temperature,API-Call
14,Bali,28.0,1
34,Bali,28.0,2
45,Bali,28.0,3
71,Bali,28.0,4
90,Bali,28.0,5
111,Bali,28.0,6
131,Bali,28.0,7
150,Bali,28.0,8
4312,Bali,29.2,9
4330,Bali,29.2,10
4352,Bali,29.2,11
4388,Bali,29.2,12
4409,Bali,29.2,13
4416,Bali,29.2,14
4436,Bali,29.2,15
4460,Bali,29.2,16
4483,Bali,29.2,17
4503,Bali,29.2,18
4526,Bali,29.2,19
4546,Bali,29.2,20
4566,Bali,29.2,21
4578,Bali,29.2,22
4608,Bali,29.2,23
4631,Bali,29.2,24
4649,Bali,29.2,25
4672,Bali,29.2,26
4694,Bali,29.2,27
4728,Bali,29.2,28
4747,Bali,29.2,29
4797,Bali,29.2,30
4820,Bali,29.2,31
4834,Bali,29.2,32
4852,Bali,29.2,33
4876,Bali,29.2,34
2815,Bali,29.2,35
2838,Bali,29.2,36
2858,Bali,29.2,37
2880,Bali,29.2,38
2886,Bali,29.2,39
2912,Bali,29.2,40
2934,Bali,29.2,41
2957,Bali,29.2,42
174,Bali,28.0,43
195,Bali,28.0,44
216,Bali,28.0,45
236,Bali,28.0,46
256,Bali,28.0,47
282,Bali,28.0,48
300,Bali,28.0,49
321,Bali,28.0,50
348,Bali,28.0,51
358,Bali,28.0,52
1300,Bali,27.9,53
1304,Bali,27.9,54
1338,Bali,27.9,55
1347,Bali,27.9,56
1381,Bali,27.9,57
1404,Bali,27.9,58
1418,Bali,27.9,59
1445,Bali,27.9,60
1475,Bali,27.9,61
1495,Bali,27.9,62
1512,Bali,27.9,63
6022,Bali,29.4,64
6052,Bali,29.4,65
4705,Bali,29.2,66
5883,Bali,29.4,67
5910,Bali,29.4,68
5922,Bali,29.4,69
5946,Bali,29.4,70
5974,Bali,29.4,71
5991,Bali,29.4,72
6004,Bali,29.4,73
2977,Bali,29.2,74
2998,Bali,29.2,75
3011,Bali,29.2,76
3037,Bali,29.2,77
3060,Bali,29.2,78
3074,Bali,29.2,79
3110,Bali,29.2,80
2315,Bali,27.988245614035094,81
2333,Bali,29.3,82
2353,Bali,29.3,83
2370,Bali,29.3,84
2397,Bali,29.3,85
2420,Bali,29.3,86
2443,Bali,29.3,87
2464,Bali,29.3,88
2530,Bali,28.027891156462577,89
2552,Bali,29.2,90
6061,Bali,29.4,91
379,Bali,28.0,92
402,Bali,28.0,93
427,Bali,28.0,94
446,Bali,28.0,95
469,Bali,28.0,96
488,Bali,28.0,97
507,Bali,28.0,98
532,Bali,28.0,99
559,Bali,28.0,100
2487,Bali,28.017495711835323,101
2512,Bali,29.3,102
1539,Bali,27.9,103
1546,Bali,27.9,104
1574,Bali,27.9,105
1587,Bali,27.9,106
1611,Bali,27.9,107
1626,Bali,27.9,108
1646,Bali,27.9,109
1668,Bali,27.9,110
1690,Bali,27.9,111
1723,Bali,27.9,112
1729,Bali,27.9,113
1754,Bali,27.9,114
2576,Bali,29.2,115
2595,Bali,29.2,116
2626,Bali,29.2,117
2644,Bali,29.2,118
2661,Bali,29.2,119
2686,Bali,29.2,120
2696,Bali,29.2,121
2732,Bali,29.2,122
2740,Bali,29.2,123
2765,Bali,29.2,124
2798,Bali,29.2,125
3123,Bali,29.2,126
3144,Bali,29.2,127
3162,Bali,29.2,128
3184,Bali,29.2,129
3214,Bali,29.2,130
3227,Bali,29.2,131
3249,Bali,29.2,132
3272,Bali,29.2,133
3290,Bali,29.2,134
3316,Bali,29.2,135
3336,Bali,29.2,136
3347,Bali,29.2,137
3368,Bali,29.2,138
579,Bali,28.0,139
599,Bali,28.0,140
621,Bali,28.0,141
639,Bali,28.0,142
663,Bali,28.0,143
681,Bali,28.0,144
699,Bali,28.0,145
724,Bali,28.0,146
754,Bali,28.0,147
759,Bali,28.0,148
787,Bali,28.0,149
807,Bali,28.0,150
