id,city,average_temperature,API-Call
6,Bangkok,30.1,1
26,Bangkok,30.1,2
51,Bangkok,30.1,3
64,Bangkok,30.1,4
88,Bangkok,30.1,5
108,Bangkok,30.1,6
132,Bangkok,30.1,7
156,Bangkok,30.1,8
5860,Bangkok,29.3,9
5885,Bangkok,29.3,10
5891,Bangkok,29.3,11
5921,Bangkok,29.3,12
5944,Bangkok,29.3,13
5954,Bangkok,29.3,14
5985,Bangkok,29.3,15
6006,Bangkok,29.3,16
6021,Bangkok,29.3,17
1287,Bangkok,28.4,18
1312,Bangkok,28.4,19
1329,Bangkok,28.4,20
1362,Bangkok,28.4,21
1368,Bangkok,28.4,22
1396,Bangkok,28.4,23
1414,Bangkok,28.4,24
1454,Bangkok,28.4,25
1471,Bangkok,28.4,26
1492,Bangkok,28.4,27
1508,Bangkok,28.4,28
2806,Bangkok,29.3,29
2821,Bangkok,29.3,30
2844,Bangkok,29.3,31
2870,Bangkok,29.3,32
2901,Bangkok,29.3,33
2922,Bangkok,29.3,34
2929,Bangkok,29.3,35
2950,Bangkok,29.3,36
5455,Bangkok,29.1,37
5473,Bangkok,29.1,38
5503,Bangkok,29.1,39
5508,Bangkok,29.1,40
5526,Bangkok,29.1,41
4318,Bangkok,29.1,42
4335,Bangkok,29.1,43
4357,Bangkok,29.1,44
4372,Bangkok,29.1,45
4397,Bangkok,29.1,46
4430,Bangkok,29.1,47
4453,Bangkok,29.1,48
4474,Bangkok,29.1,49
4508,Bangkok,29.1,50
4532,Bangkok,29.1,51
4547,Bangkok,29.1,52
4568,Bangkok,29.1,53
4583,Bangkok,29.1,54
4616,Bangkok,29.1,55
4623,Bangkok,29.1,56
4644,Bangkok,29.1,57
4661,Bangkok,29.1,58
4698,Bangkok,29.1,59
4713,Bangkok,29.1,60
171,Bangkok,30.1,61
193,Bangkok,30.1,62
222,Bangkok,30.1,63
242,Bangkok,30.1,64
260,Bangkok,30.1,65
286,Bangkok,30.1,66
306,Bangkok,30.1,67
325,Bangkok,30.1,68
341,Bangkok,30.1,69
355,Bangkok,30.1,70
4735,Bangkok,29.1,71
4761,Bangkok,29.1,72
4776,Bangkok,29.1,73
4781,Bangkok,29.1,74
4813,Bangkok,29.1,75
4835,Bangkok,29.1,76
4847,Bangkok,29.1,77
4871,Bangkok,29.1,78
2492,Bangkok,27.793298969072058,79
2502,Bangkok,29.3,80
2314,Bangkok,27.74147627416508,81
2337,Bangkok,30.2,82
2362,Bangkok,30.2,83
2383,Bangkok,30.2,84
