id,city,average_temperature,API-Call
9,Buenos Aires,8.1,1
29,Buenos Aires,8.1,2
56,Buenos Aires,8.1,3
79,Buenos Aires,8.1,4
99,Buenos Aires,8.1,5
116,Buenos Aires,8.1,6
146,Buenos Aires,8.1,7
2804,Buenos Aires,5.3,8
2836,Buenos Aires,5.3,9
2853,Buenos Aires,5.3,10
2873,Buenos Aires,5.3,11
2891,Buenos Aires,5.3,12
2907,Buenos Aires,5.3,13
2938,Buenos Aires,5.3,14
2962,Buenos Aires,5.3,15
6019,Buenos Aires,8.3,16
165,Buenos Aires,8.1,17
185,Buenos Aires,8.1,18
209,Buenos Aires,8.1,19
4327,Buenos Aires,5.2,20
4349,Buenos Aires,5.2,21
4364,Buenos Aires,5.2,22
4380,Buenos Aires,5.2,23
4403,Buenos Aires,5.2,24
4421,Buenos Aires,5.2,25
4445,Buenos Aires,5.2,26
4465,Buenos Aires,5.2,27
4499,Buenos Aires,5.2,28
4517,Buenos Aires,5.2,29
4539,Buenos Aires,5.2,30
4557,Buenos Aires,5.2,31
4587,Buenos Aires,5.2,32
4599,Buenos Aires,5.2,33
4627,Buenos Aires,5.2,34
4657,Buenos Aires,5.2,35
4677,Buenos Aires,5.2,36
4689,Buenos Aires,5.2,37
4720,Buenos Aires,5.2,38
1295,Buenos Aires,11.2,39
1317,Buenos Aires,11.2,40
1328,Buenos Aires,11.2,41
1356,Buenos Aires,11.2,42
1376,Buenos Aires,11.2,43
1389,Buenos Aires,11.2,44
1427,Buenos Aires,11.2,45
1450,Buenos Aires,11.2,46
1463,Buenos Aires,11.2,47
1483,Buenos Aires,11.2,48
1499,Buenos Aires,11.2,49
228,Buenos Aires,8.1,50
248,Buenos Aires,8.1,51
268,Buenos Aires,8.1,52
275,Buenos Aires,8.2,53
291,Buenos Aires,8.2,54
316,Buenos Aires,8.2,55
335,Buenos Aires,8.2,56
2523,Buenos Aires,10.058873720136578,57
4743,Buenos Aires,5.2,58
4755,Buenos Aires,5.2,59
4773,Buenos Aires,5.2,60
4792,Buenos Aires,5.2,61
4806,Buenos Aires,5.2,62
4843,Buenos Aires,5.2,63
4861,Buenos Aires,5.2,64
4869,Buenos Aires,5.2,65
2973,Buenos Aires,5.3,66
2993,Buenos Aires,5.3,67
3029,Buenos Aires,5.3,68
3047,Buenos Aires,5.3,69
3053,Buenos Aires,5.3,70
3087,Buenos Aires,5.3,71
3100,Buenos Aires,5.3,72
3131,Buenos Aires,5.3,73
3156,Buenos Aires,5.3,74
3166,Buenos Aires,5.3,75
3179,Buenos Aires,5.3,76
3209,Buenos Aires,5.3,77
3221,Buenos Aires,5.3,78
3244,Buenos Aires,5.3,79
3267,Buenos Aires,5.3,80
3296,Buenos Aires,5.3,81
3307,Buenos Aires,5.3,82
1526,Buenos Aires,11.2,83
1555,Buenos Aires,11.2,84
1566,Buenos Aires,11.2,85
1602,Buenos Aires,11.2,86
1621,Buenos Aires,11.2,87
1636,Buenos Aires,11.2,88
1660,Buenos Aires,11.2,89
1674,Buenos Aires,11.2,90
1699,Buenos Aires,11.2,91
1711,Buenos Aires,11.2,92
1737,Buenos Aires,11.2,93
1766,Buenos Aires,11.2,94
2322,Buenos Aires,10.273462214411309,95
2342,Buenos Aires,2.0,96
2358,Buenos Aires,2.0,97
2374,Buenos Aires,2.0,98
2392,Buenos Aires,2.0,99
2414,Buenos Aires,2.0,100
2433,Buenos Aires,2.0,101
2459,Buenos Aires,2.0,102
2481,Buenos Aires,10.107401032702297,103
2496,Buenos Aires,3.4,104
369,Buenos Aires,8.2,105
5466,Buenos Aires,5.2,106
5482,Buenos Aires,5.2,107
5493,Buenos Aires,5.2,108
5525,Buenos Aires,5.2,109
5545,Buenos Aires,5.2,110
5548,Buenos Aires,5.2,111
6045,Buenos Aires,8.3,112
6063,Buenos Aires,8.3,113
389,Buenos Aires,8.2,114
413,Buenos Aires,8.2,115
432,Buenos Aires,8.2,116
454,Buenos Aires,8.2,117
478,Buenos Aires,8.2,118
496,Buenos Aires,8.2,119
510,Buenos Aires,8.156097560975603,120
523,Buenos Aires,8.4,121
5929,Buenos Aires,8.3,122
5562,Buenos Aires,9.049595687331585,123
5582,Buenos Aires,8.3,124
1781,Buenos Aires,11.2,125
1804,Buenos Aires,11.2,126
1813,Buenos Aires,11.2,127
1848,Buenos Aires,11.2,128
1856,Buenos Aires,11.2,129
1887,Buenos Aires,11.2,130
1912,Buenos Aires,11.2,131
1920,Buenos Aires,11.2,132
1955,Buenos Aires,11.2,133
1960,Buenos Aires,11.0,134
1983,Buenos Aires,11.0,135
1995,Buenos Aires,11.0,136
3329,Buenos Aires,5.3,137
3362,Buenos Aires,5.3,138
3378,Buenos Aires,5.3,139
4887,Buenos Aires,5.2,140
4913,Buenos Aires,5.2,141
4928,Buenos Aires,5.2,142
5943,Buenos Aires,8.3,143
5970,Buenos Aires,8.3,144
5987,Buenos Aires,8.3,145
5999,Buenos Aires,8.3,146
551,Buenos Aires,8.4,147
570,Buenos Aires,8.4,148
585,Buenos Aires,8.4,149
629,Buenos Aires,8.4,150
638,Buenos Aires,8.244230769230759,151
668,Buenos Aires,8.387272727272718,152
675,Buenos Aires,12.2,153
710,Buenos Aires,12.2,154
731,Buenos Aires,12.2,155
738,Buenos Aires,12.2,156
766,Buenos Aires,12.2,157
794,Buenos Aires,12.2,158
815,Buenos Aires,9.11617647058823,159
831,Buenos Aires,12.2,160
850,Buenos Aires,9.327397260273973,161
862,Buenos Aires,12.2,162
2563,Buenos Aires,5.1,163
2586,Buenos Aires,5.1,164
2603,Buenos Aires,5.1,165
2622,Buenos Aires,5.1,166
2636,Buenos Aires,5.1,167
2657,Buenos Aires,5.1,168
2674,Buenos Aires,5.1,169
2708,Buenos Aires,5.1,170
2727,Buenos Aires,5.3,171
2754,Buenos Aires,5.3,172
2774,Buenos Aires,5.3,173
2782,Buenos Aires,5.3,174
3399,Buenos Aires,5.3,175
3411,Buenos Aires,5.3,176
3447,Buenos Aires,5.3,177
3465,Buenos Aires,5.3,178
3491,Buenos Aires,5.3,179
3505,Buenos Aires,5.3,180
3521,Buenos Aires,5.3,181
3538,Buenos Aires,5.3,182
3566,Buenos Aires,5.3,183
3589,Buenos Aires,5.3,184
3607,Buenos Aires,5.3,185
3617,Buenos Aires,5.3,186
3645,Buenos Aires,5.3,187
3671,Buenos Aires,5.3,188
891,Buenos Aires,9.440789473684212,189
917,Buenos Aires,11.2,190
938,Buenos Aires,11.2,191
954,Buenos Aires,11.2,192
979,Buenos Aires,11.2,193
1003,Buenos Aires,11.2,194
1027,Buenos Aires,11.2,195
1035,Buenos Aires,11.2,196
1057,Buenos Aires,11.2,197
1090,Buenos Aires,11.2,198
1101,Buenos Aires,11.2,199
2022,Buenos Aires,11.0,200
2040,Buenos Aires,11.0,201
2058,Buenos Aires,11.0,202
2077,Buenos Aires,11.0,203
2096,Buenos Aires,11.0,204
2120,Buenos Aires,11.0,205
2144,Buenos Aires,11.0,206
2173,Buenos Aires,11.0,207
2185,Buenos Aires,11.0,208
2213,Buenos Aires,11.0,209
2228,Buenos Aires,11.0,210
2257,Buenos Aires,11.0,211
3691,Buenos Aires,5.3,212
