id,city,average_temperature,API-Call
16,Chernobyl,26.0,1
36,Chernobyl,26.0,2
47,Chernobyl,26.0,3
68,Chernobyl,26.0,4
92,Chernobyl,26.0,5
113,Chernobyl,26.0,6
128,Chernobyl,26.0,7
152,Chernobyl,26.0,8
4309,Chernobyl,29.8,9
4332,Chernobyl,29.8,10
4354,Chernobyl,29.8,11
4391,Chernobyl,29.8,12
4411,Chernobyl,29.8,13
4418,Chernobyl,29.8,14
4438,Chernobyl,29.8,15
4462,Chernobyl,29.8,16
4485,Chernobyl,29.8,17
4505,Chernobyl,29.8,18
4528,Chernobyl,29.8,19
4550,Chernobyl,29.8,20
4570,Chernobyl,29.8,21
4580,Chernobyl,29.8,22
4610,Chernobyl,29.8,23
4633,Chernobyl,29.8,24
4646,Chernobyl,29.8,25
4669,Chernobyl,29.8,26
4691,Chernobyl,29.8,27
4702,Chernobyl,29.8,28
4725,Chernobyl,29.8,29
4752,Chernobyl,29.8,30
4794,Chernobyl,29.8,31
4817,Chernobyl,29.8,32
4831,Chernobyl,29.8,33
4854,Chernobyl,29.8,34
4878,Chernobyl,29.8,35
2817,Chernobyl,29.8,36
2840,Chernobyl,29.8,37
2860,Chernobyl,29.8,38
2882,Chernobyl,29.8,39
2888,Chernobyl,29.8,40
2914,Chernobyl,29.8,41
2931,Chernobyl,29.8,42
2954,Chernobyl,29.8,43
176,Chernobyl,26.0,44
198,Chernobyl,26.0,45
218,Chernobyl,26.0,46
238,Chernobyl,26.0,47
279,Chernobyl,26.0,48
302,Chernobyl,26.0,49
323,Chernobyl,26.0,50
345,Chernobyl,26.0,51
360,Chernobyl,26.0,52
1302,Chernobyl,22.1,53
1306,Chernobyl,22.1,54
1340,Chernobyl,22.1,55
1349,Chernobyl,22.1,56
1383,Chernobyl,22.1,57
1406,Chernobyl,22.1,58
1415,Chernobyl,22.1,59
1440,Chernobyl,22.1,60
1472,Chernobyl,22.1,61
1497,Chernobyl,22.1,62
1514,Chernobyl,22.1,63
6027,Chernobyl,27.3,64
6043,Chernobyl,27.3,65
5889,Chernobyl,27.3,66
5894,Chernobyl,27.3,67
5925,Chernobyl,27.3,68
5952,Chernobyl,27.3,69
5971,Chernobyl,27.3,70
5994,Chernobyl,27.3,71
6010,Chernobyl,27.3,72
2969,Chernobyl,29.8,73
2995,Chernobyl,29.8,74
3013,Chernobyl,29.8,75
3039,Chernobyl,29.8,76
3062,Chernobyl,29.8,77
3076,Chernobyl,29.8,78
3112,Chernobyl,29.8,79
3118,Chernobyl,29.8,80
2319,Chernobyl,20.211228070175313,81
2336,Chernobyl,30.0,82
2349,Chernobyl,30.0,83
2372,Chernobyl,30.0,84
2399,Chernobyl,30.0,85
2417,Chernobyl,30.0,86
2445,Chernobyl,30.0,87
2466,Chernobyl,30.0,88
2535,Chernobyl,20.509863945578108,89
2554,Chernobyl,29.8,90
6064,Chernobyl,27.3,91
381,Chernobyl,26.0,92
399,Chernobyl,26.0,93
429,Chernobyl,26.0,94
448,Chernobyl,26.0,95
466,Chernobyl,26.0,96
490,Chernobyl,26.0,97
512,Chernobyl,26.0,98
534,Chernobyl,26.0,99
555,Chernobyl,26.0,100
2489,Chernobyl,20.429502572898677,101
2514,Chernobyl,30.0,102
1536,Chernobyl,22.1,103
1548,Chernobyl,22.1,104
1576,Chernobyl,22.1,105
1584,Chernobyl,22.1,106
1613,Chernobyl,22.1,107
1628,Chernobyl,22.1,108
1648,Chernobyl,22.1,109
1670,Chernobyl,22.1,110
1692,Chernobyl,22.1,111
1720,Chernobyl,22.1,112
1731,Chernobyl,22.1,113
1756,Chernobyl,22.1,114
2558,Chernobyl,29.8,115
2592,Chernobyl,29.8,116
2623,Chernobyl,29.8,117
2640,Chernobyl,29.8,118
2664,Chernobyl,29.8,119
2688,Chernobyl,29.8,120
2698,Chernobyl,29.8,121
2735,Chernobyl,29.8,122
2742,Chernobyl,29.8,123
2767,Chernobyl,29.8,124
2791,Chernobyl,29.8,125
3140,Chernobyl,29.8,126
3164,Chernobyl,29.8,127
3186,Chernobyl,29.8,128
3216,Chernobyl,29.8,129
3230,Chernobyl,29.8,130
3251,Chernobyl,29.8,131
3276,Chernobyl,29.8,132
3287,Chernobyl,29.8,133
3313,Chernobyl,29.8,134
3338,Chernobyl,29.8,135
3349,Chernobyl,29.8,136
3370,Chernobyl,29.8,137
582,Chernobyl,26.0,138
601,Chernobyl,26.0,139
608,Chernobyl,26.0,140
618,Chernobyl,26.0,141
648,Chernobyl,25.95740740740741,142
665,Chernobyl,25.867857142857144,143
678,Chernobyl,22.5,144
701,Chernobyl,22.5,145
726,Chernobyl,22.5,146
751,Chernobyl,22.5,147
761,Chernobyl,22.5,148
789,Chernobyl,22.5,149
809,Chernobyl,25.233333333333334,150
839,Chernobyl,22.5,151
846,Chernobyl,25.04864864864865,152
3392,Chernobyl,29.8,153
3417,Chernobyl,29.8,154
3437,Chernobyl,29.8,155
3459,Chernobyl,29.8,156
3473,Chernobyl,29.8,157
3516,Chernobyl,29.8,158
3543,Chernobyl,29.8,159
3568,Chernobyl,29.8,160
3592,Chernobyl,29.8,161
3601,Chernobyl,29.8,162
3632,Chernobyl,29.8,163
3656,Chernobyl,29.8,164
3665,Chernobyl,29.8,165
3686,Chernobyl,29.8,166
3706,Chernobyl,29.8,167
3722,Chernobyl,29.8,168
3753,Chernobyl,29.8,169
3768,Chernobyl,29.8,170
3790,Chernobyl,29.8,171
1788,Chernobyl,22.1,172
1800,Chernobyl,22.1,173
1830,Chernobyl,22.1,174
1841,Chernobyl,22.1,175
1874,Chernobyl,22.1,176
1882,Chernobyl,22.1,177
1908,Chernobyl,22.1,178
1930,Chernobyl,22.1,179
1945,Chernobyl,20.1,180
1979,Chernobyl,20.1,181
2007,Chernobyl,20.1,182
2012,Chernobyl,20.1,183
2050,Chernobyl,20.1,184
2071,Chernobyl,20.1,185
2090,Chernobyl,20.1,186
2114,Chernobyl,20.1,187
2135,Chernobyl,20.1,188
2137,Chernobyl,20.1,189
2170,Chernobyl,20.1,190
2196,Chernobyl,20.1,191
2206,Chernobyl,20.1,192
2239,Chernobyl,20.1,193
2242,Chernobyl,20.1,194
4901,Chernobyl,29.8,195
4911,Chernobyl,29.8,196
4937,Chernobyl,29.8,197
4955,Chernobyl,29.8,198
880,Chernobyl,22.5,199
897,Chernobyl,24.949350649350652,200
905,Chernobyl,22.1,201
943,Chernobyl,22.1,202
949,Chernobyl,22.1,203
972,Chernobyl,22.1,204
996,Chernobyl,22.1,205
1008,Chernobyl,22.1,206
1046,Chernobyl,22.1,207
1053,Chernobyl,22.1,208
1080,Chernobyl,22.1,209
1095,Chernobyl,22.1,210
1124,Chernobyl,22.1,211
1150,Chernobyl,22.1,212
1161,Chernobyl,22.1,213
1195,Chernobyl,22.1,214
1200,Chernobyl,22.1,215
4974,Chernobyl,29.8,216
5003,Chernobyl,29.8,217
5021,Chernobyl,29.8,218
5037,Chernobyl,29.8,219
5060,Chernobyl,29.1,220
5075,Chernobyl,29.1,221
5106,Chernobyl,29.1,222
5114,Chernobyl,29.1,223
5135,Chernobyl,29.1,224
5169,Chernobyl,29.1,225
5180,Chernobyl,29.1,226
5202,Chernobyl,29.1,227
5232,Chernobyl,29.1,228
5248,Chernobyl,29.1,229
5260,Chernobyl,29.1,230
5303,Chernobyl,29.1,231
5309,Chernobyl,29.1,232
5330,Chernobyl,29.1,233
5351,Chernobyl,29.1,234
5573,Chernobyl,22.42997311827933,235
5590,Chernobyl,27.3,236
5606,Chernobyl,27.3,237
5626,Chernobyl,27.3,238
5647,Chernobyl,27.3,239
5669,Chernobyl,27.3,240
5694,Chernobyl,27.3,241
5702,Chernobyl,27.3,242
5742,Chernobyl,27.3,243
5760,Chernobyl,27.3,244
5783,Chernobyl,27.3,245
5800,Chernobyl,27.3,246
5820,Chernobyl,27.3,247
5828,Chernobyl,27.3,248
5868,Chernobyl,27.3,249
1237,Chernobyl,22.1,250
1259,Chernobyl,22.1,251
1277,Chernobyl,22.1,252
5381,Chernobyl,29.1,253
5393,Chernobyl,29.1,254
5421,Chernobyl,29.1,255
5443,Chernobyl,29.1,256
2279,Chernobyl,20.1,257
2298,Chernobyl,20.1,258
3812,Chernobyl,29.8,259
3837,Chernobyl,29.8,260
3852,Chernobyl,29.8,261
3873,Chernobyl,29.8,262
3906,Chernobyl,29.8,263
3920,Chernobyl,29.8,264
3933,Chernobyl,29.8,265
3953,Chernobyl,29.8,266
3977,Chernobyl,29.8,267
4010,Chernobyl,29.8,268
4023,Chernobyl,29.8,269
4037,Chernobyl,29.8,270
4057,Chernobyl,29.8,271
4078,Chernobyl,29.8,272
4104,Chernobyl,29.8,273
4136,Chernobyl,29.8,274
4147,Chernobyl,29.8,275
4157,Chernobyl,29.8,276
4186,Chernobyl,29.8,277
4214,Chernobyl,29.8,278
4235,Chernobyl,29.8,279
4262,Chernobyl,29.8,280
4267,Chernobyl,29.8,281
4292,Chernobyl,29.8,282
5447,Chernobyl,29.1,283
5485,Chernobyl,29.1,284
5501,Chernobyl,29.1,285
5532,Chernobyl,29.1,286
7118,Chernobyl,25.0,287
7151,Chernobyl,25.0,288
7176,Chernobyl,25.0,289
7179,Chernobyl,25.0,290
