id,city,average_temperature,API-Call
20,Dubai,39.0,1
41,Dubai,39.0,2
61,Dubai,39.0,3
80,Dubai,39.0,4
101,Dubai,39.0,5
123,Dubai,39.0,6
138,Dubai,39.0,7
160,Dubai,39.0,8
181,Dubai,39.0,9
196,Dubai,39.0,10
4315,Dubai,38.2,11
4342,Dubai,38.2,12
4370,Dubai,38.2,13
4387,Dubai,38.2,14
4394,Dubai,38.2,15
4423,Dubai,38.2,16
4441,Dubai,38.2,17
4457,Dubai,38.2,18
4477,Dubai,38.2,19
4494,Dubai,38.2,20
4515,Dubai,38.2,21
4536,Dubai,38.2,22
4574,Dubai,38.2,23
4595,Dubai,38.2,24
4605,Dubai,38.2,25
4637,Dubai,38.2,26
4654,Dubai,38.2,27
4664,Dubai,38.2,28
4684,Dubai,38.2,29
4709,Dubai,38.2,30
5452,Dubai,38.2,31
5469,Dubai,38.2,32
5497,Dubai,38.2,33
5537,Dubai,38.2,34
5553,Dubai,38.0,35
2810,Dubai,38.3,36
2828,Dubai,38.3,37
2848,Dubai,38.3,38
2864,Dubai,38.3,39
2903,Dubai,38.3,40
2924,Dubai,38.3,41
2943,Dubai,38.3,42
2966,Dubai,38.3,43
4729,Dubai,38.2,44
4745,Dubai,38.2,45
4801,Dubai,38.2,46
4810,Dubai,38.2,47
4827,Dubai,38.2,48
1292,Dubai,36.2,49
1316,Dubai,36.2,50
1336,Dubai,36.2,51
1365,Dubai,36.2,52
1373,Dubai,36.2,53
1401,Dubai,36.2,54
1410,Dubai,36.2,55
1451,Dubai,36.2,56
1467,Dubai,36.2,57
1488,Dubai,36.2,58
1505,Dubai,36.2,59
212,Dubai,39.0,60
233,Dubai,39.0,61
257,Dubai,39.0,62
285,Dubai,39.0,63
297,Dubai,39.0,64
318,Dubai,39.0,65
344,Dubai,39.0,66
363,Dubai,39.0,67
2317,Dubai,35.46333333333325,68
2346,Dubai,38.3,69
2368,Dubai,38.3,70
2387,Dubai,38.3,71
2403,Dubai,38.3,72
2424,Dubai,38.3,73
2439,Dubai,38.3,74
2455,Dubai,38.3,75
2528,Dubai,35.550170068027114,76
2538,Dubai,38.3,77
2485,Dubai,35.52658662092615,78
2505,Dubai,38.3,79
6058,Dubai,37.0,80
386,Dubai,39.0,81
404,Dubai,39.0,82
421,Dubai,39.0,83
442,Dubai,39.0,84
463,Dubai,39.0,85
484,Dubai,39.0,86
508,Dubai,39.00243902439024,87
1531,Dubai,36.2,88
1560,Dubai,36.2,89
1571,Dubai,36.2,90
1595,Dubai,36.2,91
1605,Dubai,36.2,92
1641,Dubai,36.2,93
1661,Dubai,36.2,94
1678,Dubai,36.2,95
1704,Dubai,36.2,96
1712,Dubai,36.2,97
1746,Dubai,36.2,98
1750,Dubai,36.2,99
2986,Dubai,38.3,100
3007,Dubai,38.3,101
3019,Dubai,38.3,102
3033,Dubai,38.3,103
3070,Dubai,38.3,104
3079,Dubai,38.3,105
3114,Dubai,38.3,106
3120,Dubai,38.3,107
3138,Dubai,38.3,108
3158,Dubai,38.3,109
3195,Dubai,38.3,110
3204,Dubai,38.3,111
3234,Dubai,38.3,112
3255,Dubai,38.3,113
3279,Dubai,38.3,114
3300,Dubai,38.3,115
3309,Dubai,38.3,116
3331,Dubai,38.3,117
3360,Dubai,38.3,118
3384,Dubai,38.3,119
4845,Dubai,38.2,120
4881,Dubai,38.2,121
537,Dubai,39.1,122
552,Dubai,39.1,123
575,Dubai,39.1,124
597,Dubai,39.1,125
614,Dubai,39.1,126
637,Dubai,38.994444444444426,127
657,Dubai,38.948214285714265,128
686,Dubai,38.0,129
704,Dubai,38.0,130
720,Dubai,38.0,131
746,Dubai,38.0,132
772,Dubai,38.0,133
778,Dubai,38.0,134
812,Dubai,38.76956521739129,135
824,Dubai,38.0,136
855,Dubai,38.717567567567556,137
868,Dubai,38.0,138
1783,Dubai,36.2,139
1793,Dubai,36.2,140
1823,Dubai,36.2,141
1833,Dubai,36.2,142
1866,Dubai,36.2,143
1876,Dubai,36.2,144
1902,Dubai,36.2,145
1929,Dubai,36.2,146
1939,Dubai,36.2,147
1965,Dubai,36.2,148
1973,Dubai,36.2,149
2001,Dubai,36.2,150
4897,Dubai,38.2,151
4919,Dubai,38.2,152
3395,Dubai,38.3,153
3420,Dubai,38.3,154
3450,Dubai,38.3,155
3470,Dubai,38.3,156
3487,Dubai,38.3,157
3508,Dubai,38.3,158
3531,Dubai,38.3,159
3534,Dubai,38.3,160
3559,Dubai,38.3,161
3581,Dubai,38.3,162
3611,Dubai,38.3,163
3623,Dubai,38.3,164
2571,Dubai,38.3,165
2597,Dubai,38.3,166
2615,Dubai,38.3,167
2641,Dubai,38.3,168
2658,Dubai,38.3,169
2683,Dubai,38.3,170
2714,Dubai,38.3,171
2725,Dubai,38.3,172
2745,Dubai,38.3,173
2771,Dubai,38.3,174
2786,Dubai,38.3,175
889,Dubai,38.68961038961038,176
911,Dubai,36.2,177
925,Dubai,36.2,178
961,Dubai,36.2,179
967,Dubai,36.2,180
1005,Dubai,36.2,181
1023,Dubai,36.2,182
3651,Dubai,38.3,183
3661,Dubai,38.3,184
3682,Dubai,38.3,185
3708,Dubai,38.3,186
3735,Dubai,38.3,187
3742,Dubai,38.3,188
3773,Dubai,38.3,189
3798,Dubai,38.3,190
4945,Dubai,38.2,191
4950,Dubai,38.2,192
4984,Dubai,38.2,193
4992,Dubai,38.2,194
5031,Dubai,38.2,195
5041,Dubai,38.2,196
5073,Dubai,38.2,197
5089,Dubai,38.2,198
5108,Dubai,38.2,199
5129,Dubai,38.2,200
