id,city,average_temperature,API-Call
7,Helsinki,29.2,1
23,Helsinki,29.2,2
52,Helsinki,29.2,3
65,Helsinki,29.2,4
85,Helsinki,29.2,5
109,Helsinki,29.2,6
133,Helsinki,29.2,7
153,Helsinki,29.2,8
5832,Helsinki,21.3,9
5861,Helsinki,21.3,10
5886,Helsinki,21.3,11
5898,Helsinki,21.3,12
5912,Helsinki,21.3,13
5947,Helsinki,21.3,14
5957,Helsinki,21.3,15
5976,Helsinki,21.3,16
6014,Helsinki,21.3,17
6028,Helsinki,21.3,18
1284,Helsinki,23.1,19
1313,Helsinki,23.1,20
1330,Helsinki,23.1,21
1359,Helsinki,23.1,22
1369,Helsinki,23.1,23
1397,Helsinki,23.1,24
1411,Helsinki,23.1,25
1438,Helsinki,23.1,26
1468,Helsinki,23.1,27
1493,Helsinki,23.1,28
1509,Helsinki,23.1,29
2807,Helsinki,21.0,30
2822,Helsinki,21.0,31
2845,Helsinki,21.0,32
2871,Helsinki,21.0,33
2898,Helsinki,21.0,34
2919,Helsinki,21.0,35
2926,Helsinki,21.0,36
2947,Helsinki,21.0,37
5457,Helsinki,21.2,38
5474,Helsinki,21.2,39
5504,Helsinki,21.2,40
5509,Helsinki,21.2,41
5528,Helsinki,21.2,42
4319,Helsinki,21.0,43
4336,Helsinki,21.0,44
4358,Helsinki,21.0,45
4373,Helsinki,21.0,46
4398,Helsinki,21.0,47
4431,Helsinki,21.0,48
4454,Helsinki,21.0,49
4475,Helsinki,21.0,50
4491,Helsinki,21.0,51
4509,Helsinki,21.0,52
4533,Helsinki,21.0,53
4549,Helsinki,21.0,54
4569,Helsinki,21.0,55
4584,Helsinki,21.0,56
4617,Helsinki,21.0,57
4620,Helsinki,21.0,58
4641,Helsinki,21.0,59
4663,Helsinki,21.0,60
4699,Helsinki,21.0,61
4714,Helsinki,21.0,62
172,Helsinki,29.2,63
201,Helsinki,29.2,64
219,Helsinki,29.2,65
243,Helsinki,29.2,66
261,Helsinki,29.2,67
287,Helsinki,29.2,68
307,Helsinki,29.2,69
326,Helsinki,29.2,70
338,Helsinki,29.2,71
356,Helsinki,29.2,72
4736,Helsinki,21.0,73
4762,Helsinki,21.0,74
4777,Helsinki,21.0,75
4782,Helsinki,21.0,76
4814,Helsinki,21.0,77
4836,Helsinki,21.0,78
4848,Helsinki,21.0,79
4872,Helsinki,21.0,80
2493,Helsinki,22.88822525597291,81
2503,Helsinki,24.0,82
2316,Helsinki,22.857242582897268,83
2339,Helsinki,24.3,84
2363,Helsinki,24.3,85
2384,Helsinki,24.3,86
2407,Helsinki,24.3,87
2429,Helsinki,24.3,88
2450,Helsinki,24.3,89
2467,Helsinki,24.3,90
2533,Helsinki,22.89037162162184,91
2545,Helsinki,22.2,92
376,Helsinki,29.2,93
396,Helsinki,29.2,94
419,Helsinki,29.2,95
440,Helsinki,29.2,96
459,Helsinki,29.2,97
481,Helsinki,29.2,98
520,Helsinki,29.207142857142873,99
530,Helsinki,29.3,100
544,Helsinki,29.3,101
2981,Helsinki,21.0,102
3004,Helsinki,21.0,103
3022,Helsinki,21.0,104
3043,Helsinki,21.0,105
3068,Helsinki,21.0,106
3084,Helsinki,21.0,107
3094,Helsinki,21.0,108
3133,Helsinki,21.0,109
3150,Helsinki,21.0,110
3172,Helsinki,21.0,111
3191,Helsinki,21.0,112
3202,Helsinki,21.0,113
3236,Helsinki,21.0,114
3258,Helsinki,21.0,115
3263,Helsinki,21.0,116
3284,Helsinki,21.0,117
