id,city,average_temperature,API-Call
17,Madrid,26.4,1
32,Madrid,26.4,2
48,Madrid,26.4,3
69,Madrid,26.4,4
93,Madrid,26.4,5
114,Madrid,26.4,6
129,Madrid,26.4,7
148,Madrid,26.4,8
4310,Madrid,23.3,9
4333,Madrid,23.3,10
4355,Madrid,23.3,11
4392,Madrid,23.3,12
4412,Madrid,23.3,13
4419,Madrid,23.3,14
4439,Madrid,23.3,15
4463,Madrid,23.3,16
4486,Madrid,23.3,17
4506,Madrid,23.3,18
4529,Madrid,23.3,19
4552,Madrid,24.2,20
4571,Madrid,24.2,21
4582,Madrid,24.2,22
4611,Madrid,24.2,23
4634,Madrid,24.2,24
4647,Madrid,24.2,25
4670,Madrid,24.2,26
4692,Madrid,24.2,27
4703,Madrid,24.2,28
4726,Madrid,24.2,29
4754,Madrid,24.2,30
4775,Madrid,24.2,31
4795,Madrid,24.2,32
4818,Madrid,24.2,33
4832,Madrid,24.2,34
4855,Madrid,24.2,35
4879,Madrid,24.2,36
2818,Madrid,23.3,37
2841,Madrid,23.3,38
2861,Madrid,23.3,39
2883,Madrid,23.3,40
2884,Madrid,23.3,41
2910,Madrid,23.3,42
2932,Madrid,23.3,43
2955,Madrid,23.3,44
177,Madrid,26.4,45
200,Madrid,26.4,46
214,Madrid,26.4,47
239,Madrid,26.4,48
254,Madrid,26.4,49
280,Madrid,26.4,50
303,Madrid,26.4,51
324,Madrid,26.4,52
346,Madrid,26.4,53
361,Madrid,26.4,54
1298,Madrid,20.3,55
1307,Madrid,20.3,56
1341,Madrid,20.3,57
1345,Madrid,20.3,58
1384,Madrid,20.3,59
1407,Madrid,20.3,60
1416,Madrid,20.3,61
1441,Madrid,20.3,62
1443,Madrid,20.3,63
1473,Madrid,20.3,64
1498,Madrid,20.3,65
1515,Madrid,20.3,66
6012,Madrid,24.2,67
6030,Madrid,24.2,68
6050,Madrid,24.2,69
5890,Madrid,24.2,70
5908,Madrid,24.2,71
5926,Madrid,24.2,72
5953,Madrid,24.2,73
5972,Madrid,24.2,74
5995,Madrid,24.2,75
2975,Madrid,23.3,76
2996,Madrid,23.3,77
3014,Madrid,23.3,78
3040,Madrid,23.3,79
3063,Madrid,23.3,80
3077,Madrid,23.3,81
3107,Madrid,23.3,82
2321,Madrid,19.86666666666648,83
2338,Madrid,20.2,84
2350,Madrid,20.2,85
2373,Madrid,20.2,86
2400,Madrid,20.2,87
2418,Madrid,20.2,88
2446,Madrid,20.2,89
2462,Madrid,20.2,90
2536,Madrid,19.909797297297125,91
2555,Madrid,23.1,92
382,Madrid,26.4,93
400,Madrid,26.4,94
430,Madrid,26.4,95
449,Madrid,26.4,96
467,Madrid,26.4,97
491,Madrid,26.4,98
515,Madrid,26.392857142857128,99
535,Madrid,26.3,100
557,Madrid,26.3,101
2490,Madrid,19.88122866894181,102
2515,Madrid,22.3,103
1537,Madrid,20.3,104
1549,Madrid,20.3,105
1577,Madrid,20.3,106
1585,Madrid,20.3,107
1614,Madrid,20.3,108
1629,Madrid,20.3,109
1649,Madrid,20.3,110
1671,Madrid,20.3,111
1693,Madrid,20.3,112
1721,Madrid,20.3,113
1732,Madrid,20.3,114
1757,Madrid,20.3,115
2559,Madrid,23.1,116
2580,Madrid,23.1,117
2593,Madrid,23.1,118
2624,Madrid,23.1,119
2642,Madrid,23.1,120
2665,Madrid,23.1,121
2689,Madrid,23.1,122
2699,Madrid,23.1,123
2736,Madrid,23.3,124
2743,Madrid,23.3,125
2763,Madrid,23.3,126
2794,Madrid,23.3,127
3121,Madrid,23.3,128
3142,Madrid,23.3,129
3165,Madrid,23.3,130
3187,Madrid,23.3,131
3217,Madrid,23.3,132
3232,Madrid,23.3,133
3252,Madrid,23.3,134
3265,Madrid,23.3,135
3288,Madrid,23.3,136
3314,Madrid,23.3,137
3339,Madrid,23.3,138
3350,Madrid,23.3,139
3371,Madrid,23.3,140
583,Madrid,26.3,141
602,Madrid,26.3,142
619,Madrid,26.3,143
650,Madrid,26.262499999999978,144
666,Madrid,25.993220338983026,145
679,Madrid,20.3,146
702,Madrid,20.3,147
727,Madrid,20.3,148
752,Madrid,20.3,149
762,Madrid,20.3,150
790,Madrid,20.3,151
810,Madrid,25.03098591549293,152
835,Madrid,20.3,153
847,Madrid,24.662337662337634,154
3393,Madrid,23.3,155
3418,Madrid,23.3,156
3438,Madrid,23.3,157
3460,Madrid,23.3,158
3475,Madrid,23.3,159
3498,Madrid,23.3,160
3518,Madrid,23.3,161
3544,Madrid,23.3,162
3569,Madrid,23.3,163
3593,Madrid,23.3,164
3602,Madrid,23.3,165
3633,Madrid,23.3,166
3657,Madrid,23.3,167
3666,Madrid,23.3,168
3687,Madrid,23.3,169
3710,Madrid,23.3,170
3724,Madrid,23.3,171
3754,Madrid,23.3,172
3769,Madrid,23.3,173
3791,Madrid,23.3,174
1789,Madrid,20.3,175
1796,Madrid,20.3,176
1831,Madrid,20.3,177
1842,Madrid,20.3,178
1870,Madrid,20.3,179
1883,Madrid,20.3,180
1909,Madrid,20.3,181
1931,Madrid,20.1,182
1946,Madrid,20.1,183
1980,Madrid,20.1,184
2008,Madrid,20.1,185
2013,Madrid,20.1,186
2051,Madrid,20.1,187
2072,Madrid,20.1,188
2091,Madrid,20.1,189
2115,Madrid,20.1,190
2136,Madrid,20.1,191
2138,Madrid,20.1,192
2171,Madrid,20.1,193
2197,Madrid,20.1,194
2207,Madrid,20.1,195
2240,Madrid,20.1,196
2243,Madrid,20.1,197
4902,Madrid,24.2,198
4912,Madrid,24.2,199
4938,Madrid,24.2,200
4956,Madrid,24.2,201
881,Madrid,20.3,202
898,Madrid,24.446913580246882,203
906,Madrid,20.3,204
944,Madrid,20.3,205
945,Madrid,20.3,206
973,Madrid,20.3,207
997,Madrid,20.3,208
1009,Madrid,20.3,209
1047,Madrid,20.3,210
1054,Madrid,20.3,211
1081,Madrid,20.3,212
1096,Madrid,20.3,213
1125,Madrid,20.3,214
1151,Madrid,20.3,215
1162,Madrid,20.3,216
1196,Madrid,20.3,217
1201,Madrid,20.3,218
4975,Madrid,24.2,219
5004,Madrid,24.2,220
5022,Madrid,24.2,221
5038,Madrid,24.2,222
5054,Madrid,24.2,223
5107,Madrid,24.2,224
5115,Madrid,24.2,225
5136,Madrid,24.2,226
5165,Madrid,24.2,227
5181,Madrid,24.2,228
5203,Madrid,24.2,229
5233,Madrid,24.2,230
5249,Madrid,24.2,231
5261,Madrid,24.2,232
5280,Madrid,24.2,233
5310,Madrid,24.2,234
5331,Madrid,24.2,235
5352,Madrid,24.2,236
5575,Madrid,20.692647058823383,237
5592,Madrid,24.2,238
5607,Madrid,24.2,239
5627,Madrid,24.2,240
5656,Madrid,24.2,241
5678,Madrid,24.2,242
5695,Madrid,24.2,243
5703,Madrid,24.2,244
5743,Madrid,24.2,245
5761,Madrid,24.2,246
5784,Madrid,24.2,247
5802,Madrid,24.2,248
5822,Madrid,24.2,249
5831,Madrid,24.2,250
5869,Madrid,24.2,251
1238,Madrid,20.3,252
1260,Madrid,20.3,253
1278,Madrid,20.3,254
5382,Madrid,24.2,255
5394,Madrid,24.2,256
5422,Madrid,24.2,257
5444,Madrid,24.2,258
2280,Madrid,20.1,259
2289,Madrid,20.1,260
3813,Madrid,23.3,261
3838,Madrid,23.3,262
3853,Madrid,23.3,263
3875,Madrid,23.3,264
3907,Madrid,23.3,265
3921,Madrid,23.3,266
3934,Madrid,23.3,267
3954,Madrid,23.3,268
3978,Madrid,23.3,269
4011,Madrid,23.3,270
4024,Madrid,23.3,271
4038,Madrid,24.2,272
4058,Madrid,24.2,273
4079,Madrid,24.2,274
4097,Madrid,24.2,275
4129,Madrid,24.2,276
4158,Madrid,24.2,277
4172,Madrid,24.2,278
4187,Madrid,24.2,279
4215,Madrid,24.2,280
4238,Madrid,24.2,281
4263,Madrid,24.2,282
4269,Madrid,23.3,283
4293,Madrid,23.3,284
5448,Madrid,24.2,285
5486,Madrid,24.2,286
5502,Madrid,24.2,287
5515,Madrid,24.2,288
5533,Madrid,24.2,289
7119,Madrid,24.1,290
7146,Madrid,24.1,291
7177,Madrid,24.1,292
7180,Madrid,24.1,293
7204,Madrid,24.1,294
7227,Madrid,24.1,295
7251,Madrid,24.1,296
7269,Madrid,24.1,297
7293,Madrid,24.1,298
7314,Madrid,24.1,299
7335,Madrid,24.1,300
7353,Madrid,24.1,301
7378,Madrid,24.1,302
7408,Madrid,24.1,303
7425,Madrid,24.1,304
7451,Madrid,24.1,305
7467,Madrid,24.1,306
7490,Madrid,24.1,307
7514,Madrid,24.1,308
7534,Madrid,24.1,309
7553,Madrid,24.1,310
7574,Madrid,24.1,311
7596,Madrid,23.55,312
7616,Madrid,23.0,313
9157,Madrid,23.2,314
8460,Madrid,23.0,315
8499,Madrid,23.0,316
8508,Madrid,23.0,317
8539,Madrid,23.0,318
8554,Madrid,23.0,319
8577,Madrid,23.0,320
8588,Madrid,23.0,321
8627,Madrid,23.0,322
8647,Madrid,23.0,323
8667,Madrid,23.0,324
6084,Madrid,24.2,325
6098,Madrid,24.2,326
