id,city,average_temperature,API-Call
5,Mexico City,15.0,1
25,Mexico City,15.0,2
50,Mexico City,15.0,3
67,Mexico City,15.0,4
87,Mexico City,15.0,5
107,Mexico City,15.0,6
135,Mexico City,15.0,7
155,Mexico City,15.0,8
5848,Mexico City,18.4,9
5858,Mexico City,18.4,10
5884,Mexico City,18.4,11
5906,Mexico City,18.4,12
5920,Mexico City,18.4,13
5941,Mexico City,18.4,14
5961,Mexico City,18.4,15
5981,Mexico City,18.4,16
6016,Mexico City,18.4,17
1286,Mexico City,21.0,18
1311,Mexico City,21.0,19
1332,Mexico City,21.0,20
1361,Mexico City,21.0,21
1367,Mexico City,21.0,22
1399,Mexico City,21.0,23
1413,Mexico City,21.0,24
1456,Mexico City,21.0,25
1470,Mexico City,21.0,26
1491,Mexico City,21.0,27
1507,Mexico City,21.0,28
2809,Mexico City,16.0,29
2824,Mexico City,16.0,30
2843,Mexico City,16.0,31
2869,Mexico City,16.0,32
2900,Mexico City,16.0,33
2921,Mexico City,16.0,34
2928,Mexico City,16.0,35
2949,Mexico City,16.0,36
5459,Mexico City,14.9,37
5476,Mexico City,14.9,38
5506,Mexico City,14.9,39
5512,Mexico City,14.9,40
5531,Mexico City,14.9,41
4321,Mexico City,14.8,42
4338,Mexico City,14.8,43
4360,Mexico City,14.8,44
4375,Mexico City,14.8,45
4396,Mexico City,14.8,46
4429,Mexico City,14.8,47
4452,Mexico City,14.8,48
4490,Mexico City,14.8,49
4512,Mexico City,14.8,50
4530,Mexico City,14.8,51
4545,Mexico City,14.8,52
4581,Mexico City,14.8,53
4615,Mexico City,14.8,54
4622,Mexico City,14.8,55
4643,Mexico City,14.8,56
4666,Mexico City,14.8,57
4701,Mexico City,14.8,58
4716,Mexico City,14.8,59
170,Mexico City,15.0,60
203,Mexico City,15.0,61
221,Mexico City,15.0,62
241,Mexico City,15.0,63
263,Mexico City,15.0,64
289,Mexico City,15.1,65
305,Mexico City,15.1,66
328,Mexico City,15.1,67
340,Mexico City,15.1,68
354,Mexico City,15.1,69
4738,Mexico City,14.8,70
4764,Mexico City,14.8,71
4779,Mexico City,14.8,72
4784,Mexico City,14.8,73
4816,Mexico City,14.8,74
4838,Mexico City,14.8,75
4850,Mexico City,14.8,76
4874,Mexico City,14.8,77
2491,Mexico City,20.51222030981091,78
2501,Mexico City,16.2,79
2313,Mexico City,20.603163444639947,80
2334,Mexico City,16.2,81
2365,Mexico City,16.2,82
2382,Mexico City,16.2,83
2409,Mexico City,16.2,84
2431,Mexico City,16.2,85
2447,Mexico City,16.2,86
2469,Mexico City,16.2,87
2531,Mexico City,20.474402730375665,88
6055,Mexico City,18.4,89
374,Mexico City,15.1,90
398,Mexico City,15.1,91
417,Mexico City,15.1,92
438,Mexico City,15.1,93
461,Mexico City,15.1,94
479,Mexico City,15.1,95
514,Mexico City,15.051219512195134,96
528,Mexico City,15.1,97
546,Mexico City,15.1,98
2983,Mexico City,16.0,99
3006,Mexico City,16.0,100
3024,Mexico City,16.0,101
3041,Mexico City,16.0,102
3066,Mexico City,16.0,103
3082,Mexico City,16.0,104
3096,Mexico City,16.0,105
3135,Mexico City,16.0,106
3152,Mexico City,16.0,107
3174,Mexico City,16.0,108
3189,Mexico City,16.0,109
3200,Mexico City,16.0,110
3238,Mexico City,16.0,111
3260,Mexico City,16.0,112
3273,Mexico City,16.0,113
3286,Mexico City,16.0,114
3321,Mexico City,16.0,115
3344,Mexico City,16.0,116
3351,Mexico City,16.0,117
3374,Mexico City,16.0,118
5551,Mexico City,14.9,119
1535,Mexico City,21.0,120
1542,Mexico City,21.0,121
1579,Mexico City,21.0,122
1592,Mexico City,21.0,123
1617,Mexico City,21.0,124
1631,Mexico City,21.0,125
1655,Mexico City,21.0,126
1684,Mexico City,21.0,127
1695,Mexico City,21.0,128
1727,Mexico City,21.0,129
1743,Mexico City,21.0,130
1762,Mexico City,21.0,131
1777,Mexico City,21.0,132
1809,Mexico City,21.0,133
1818,Mexico City,21.0,134
1852,Mexico City,21.0,135
1861,Mexico City,21.0,136
1892,Mexico City,21.0,137
1896,Mexico City,21.0,138
1925,Mexico City,21.0,139
1951,Mexico City,21.0,140
1962,Mexico City,21.0,141
1969,Mexico City,21.0,142
1999,Mexico City,21.0,143
566,Mexico City,15.1,144
591,Mexico City,15.1,145
612,Mexico City,15.1,146
640,Mexico City,15.078846153846168,147
658,Mexico City,15.28363636363638,148
690,Mexico City,22.1,149
695,Mexico City,22.1,150
714,Mexico City,22.1,151
743,Mexico City,22.1,152
773,Mexico City,22.1,153
780,Mexico City,22.1,154
800,Mexico City,16.58676470588236,155
821,Mexico City,22.1,156
858,Mexico City,16.964383561643835,157
4894,Mexico City,14.8,158
871,Mexico City,22.1,159
2567,Mexico City,16.0,160
2579,Mexico City,16.0,161
2610,Mexico City,16.0,162
2631,Mexico City,16.0,163
2651,Mexico City,16.0,164
2673,Mexico City,16.0,165
2694,Mexico City,16.0,166
2701,Mexico City,16.0,167
2717,Mexico City,16.0,168
2749,Mexico City,16.0,169
2760,Mexico City,16.0,170
2797,Mexico City,16.0,171
890,Mexico City,17.167105263157893,172
923,Mexico City,21.0,173
932,Mexico City,21.0,174
964,Mexico City,21.0,175
984,Mexico City,21.0,176
992,Mexico City,21.0,177
1019,Mexico City,21.0,178
1030,Mexico City,21.0,179
3406,Mexico City,16.0,180
