id,city,average_temperature,API-Call
19,Moscow,27.4,1
40,Moscow,27.4,2
60,Moscow,27.4,3
81,Moscow,27.4,4
97,Moscow,27.4,5
122,Moscow,27.4,6
139,Moscow,27.4,7
159,Moscow,27.4,8
180,Moscow,27.4,9
199,Moscow,27.4,10
4316,Moscow,30.2,11
4343,Moscow,30.2,12
4369,Moscow,30.2,13
4385,Moscow,30.2,14
4393,Moscow,30.2,15
4420,Moscow,30.2,16
4440,Moscow,30.2,17
4456,Moscow,30.2,18
4476,Moscow,30.2,19
4493,Moscow,30.2,20
4514,Moscow,30.2,21
4535,Moscow,30.2,22
4573,Moscow,30.2,23
4594,Moscow,30.2,24
4604,Moscow,30.2,25
4636,Moscow,30.2,26
4652,Moscow,30.2,27
4662,Moscow,30.2,28
4683,Moscow,30.2,29
4708,Moscow,30.2,30
5453,Moscow,30.1,31
5470,Moscow,30.1,32
5496,Moscow,30.1,33
5518,Moscow,30.1,34
5538,Moscow,30.1,35
2811,Moscow,30.0,36
2826,Moscow,30.0,37
2847,Moscow,30.0,38
2863,Moscow,30.0,39
2902,Moscow,30.0,40
2923,Moscow,30.0,41
2942,Moscow,30.0,42
2965,Moscow,30.0,43
4731,Moscow,30.2,44
4746,Moscow,30.2,45
4767,Moscow,30.2,46
4800,Moscow,30.2,47
4811,Moscow,30.2,48
4828,Moscow,30.2,49
1291,Moscow,22.3,50
1315,Moscow,22.3,51
1337,Moscow,22.3,52
1364,Moscow,22.3,53
1372,Moscow,22.3,54
1400,Moscow,22.3,55
1409,Moscow,22.3,56
1435,Moscow,22.3,57
1452,Moscow,22.3,58
1466,Moscow,22.3,59
1487,Moscow,22.3,60
1504,Moscow,22.3,61
211,Moscow,27.4,62
232,Moscow,27.4,63
258,Moscow,27.4,64
284,Moscow,27.4,65
296,Moscow,27.4,66
319,Moscow,27.4,67
343,Moscow,27.4,68
362,Moscow,27.4,69
2311,Moscow,22.415008726003364,70
2340,Moscow,30.1,71
2367,Moscow,30.1,72
2386,Moscow,30.1,73
2402,Moscow,30.1,74
2423,Moscow,30.1,75
2438,Moscow,30.1,76
2454,Moscow,30.1,77
2519,Moscow,22.65287162162151,78
2537,Moscow,30.2,79
2479,Moscow,22.581740614334354,80
2504,Moscow,29.0,81
6057,Moscow,29.1,82
385,Moscow,27.4,83
405,Moscow,27.4,84
420,Moscow,27.4,85
441,Moscow,27.4,86
464,Moscow,27.4,87
483,Moscow,27.4,88
506,Moscow,27.399999999999995,89
1530,Moscow,22.3,90
1559,Moscow,22.3,91
1570,Moscow,22.3,92
1596,Moscow,22.3,93
1604,Moscow,22.3,94
1640,Moscow,22.3,95
1662,Moscow,22.3,96
1677,Moscow,22.3,97
1703,Moscow,22.3,98
1713,Moscow,22.3,99
1745,Moscow,22.3,100
1749,Moscow,22.3,101
2985,Moscow,30.0,102
3008,Moscow,30.0,103
3018,Moscow,30.0,104
3031,Moscow,30.0,105
3069,Moscow,30.0,106
3078,Moscow,30.0,107
3113,Moscow,30.0,108
3119,Moscow,30.0,109
3141,Moscow,30.0,110
3157,Moscow,30.0,111
3194,Moscow,30.0,112
3203,Moscow,30.0,113
3233,Moscow,30.0,114
3253,Moscow,30.0,115
3278,Moscow,30.0,116
3299,Moscow,30.0,117
3310,Moscow,30.0,118
3332,Moscow,30.0,119
3359,Moscow,30.0,120
3383,Moscow,30.0,121
4846,Moscow,30.2,122
4880,Moscow,30.2,123
536,Moscow,27.4,124
553,Moscow,27.4,125
573,Moscow,27.4,126
596,Moscow,27.4,127
615,Moscow,27.4,128
630,Moscow,27.394642857142873,129
655,Moscow,27.3220338983051,130
