id,city,average_temperature,API-Call
12,Reykjavik,12.2,1
27,Reykjavik,12.2,2
59,Reykjavik,12.2,3
77,Reykjavik,12.2,4
96,Reykjavik,12.2,5
119,Reykjavik,12.2,6
144,Reykjavik,12.2,7
2802,Reykjavik,10.2,8
2834,Reykjavik,10.2,9
2856,Reykjavik,10.2,10
2876,Reykjavik,10.2,11
2889,Reykjavik,10.2,12
2905,Reykjavik,10.2,13
2936,Reykjavik,10.2,14
2960,Reykjavik,10.2,15
6011,Reykjavik,10.1,16
163,Reykjavik,12.2,17
188,Reykjavik,12.2,18
207,Reykjavik,12.2,19
4325,Reykjavik,10.4,20
4347,Reykjavik,10.4,21
4366,Reykjavik,10.4,22
4378,Reykjavik,10.4,23
4407,Reykjavik,10.4,24
4427,Reykjavik,10.4,25
4448,Reykjavik,10.4,26
4468,Reykjavik,10.4,27
4481,Reykjavik,10.4,28
4497,Reykjavik,10.4,29
4520,Reykjavik,10.4,30
4542,Reykjavik,10.4,31
4560,Reykjavik,10.4,32
4590,Reykjavik,10.4,33
4602,Reykjavik,10.4,34
4625,Reykjavik,10.4,35
4655,Reykjavik,10.4,36
4675,Reykjavik,10.4,37
4687,Reykjavik,10.4,38
4718,Reykjavik,10.4,39
1293,Reykjavik,12.3,40
1321,Reykjavik,12.3,41
1326,Reykjavik,12.3,42
1354,Reykjavik,12.3,43
1379,Reykjavik,12.3,44
1392,Reykjavik,12.3,45
1425,Reykjavik,12.3,46
1434,Reykjavik,12.3,47
1448,Reykjavik,12.3,48
1461,Reykjavik,12.3,49
1486,Reykjavik,12.3,50
1502,Reykjavik,12.3,51
226,Reykjavik,12.2,52
251,Reykjavik,12.2,53
266,Reykjavik,12.2,54
273,Reykjavik,12.2,55
294,Reykjavik,12.2,56
314,Reykjavik,12.2,57
333,Reykjavik,12.2,58
2526,Reykjavik,12.153209459459612,59
2549,Reykjavik,10.3,60
4741,Reykjavik,10.4,61
4751,Reykjavik,10.4,62
4771,Reykjavik,10.4,63
4790,Reykjavik,10.4,64
4804,Reykjavik,10.4,65
4841,Reykjavik,10.4,66
4859,Reykjavik,10.4,67
4867,Reykjavik,10.4,68
2971,Reykjavik,10.2,69
