id,city,average_temperature,API-Call
4,Seoul,23.1,1
38,Seoul,23.1,2
54,Seoul,23.1,3
73,Seoul,23.1,4
95,Seoul,23.1,5
121,Seoul,23.1,6
136,Seoul,23.1,7
158,Seoul,23.1,8
179,Seoul,23.1,9
192,Seoul,23.1,10
1289,Seoul,20.3,11
1323,Seoul,20.3,12
1333,Seoul,20.3,13
1353,Seoul,20.3,14
1371,Seoul,20.3,15
1394,Seoul,20.3,16
1423,Seoul,20.3,17
1446,Seoul,20.3,18
1459,Seoul,20.3,19
1481,Seoul,20.3,20
1518,Seoul,20.3,21
2813,Seoul,24.1,22
2825,Seoul,24.1,23
2851,Seoul,24.1,24
2867,Seoul,24.1,25
2897,Seoul,24.1,26
2917,Seoul,24.1,27
2946,Seoul,24.1,28
2952,Seoul,24.1,29
4323,Seoul,25.6,30
4340,Seoul,25.6,31
4361,Seoul,25.6,32
4381,Seoul,25.6,33
4400,Seoul,25.6,34
4434,Seoul,25.6,35
4450,Seoul,25.6,36
4470,Seoul,25.6,37
4500,Seoul,25.6,38
4523,Seoul,25.6,39
4554,Seoul,25.6,40
4563,Seoul,25.6,41
4592,Seoul,25.6,42
4613,Seoul,25.6,43
4619,Seoul,25.6,44
4640,Seoul,25.6,45
4680,Seoul,25.6,46
4696,Seoul,25.6,47
4710,Seoul,25.6,48
4733,Seoul,25.6,49
4757,Seoul,25.6,50
4766,Seoul,25.6,51
4786,Seoul,25.6,52
4808,Seoul,25.6,53
4824,Seoul,25.6,54
224,Seoul,23.1,55
245,Seoul,23.1,56
264,Seoul,23.1,57
271,Seoul,23.1,58
310,Seoul,23.1,59
329,Seoul,23.1,60
352,Seoul,23.1,61
5456,Seoul,24.9,62
5471,Seoul,24.9,63
5494,Seoul,24.9,64
5516,Seoul,24.9,65
5527,Seoul,24.9,66
5549,Seoul,24.9,67
366,Seoul,23.1,68
1521,Seoul,20.3,69
1552,Seoul,20.3,70
1563,Seoul,20.3,71
1593,Seoul,20.3,72
1608,Seoul,20.3,73
1644,Seoul,20.3,74
1665,Seoul,20.3,75
1682,Seoul,20.3,76
1687,Seoul,20.3,77
1716,Seoul,20.3,78
1734,Seoul,20.3,79
1760,Seoul,20.3,80
6054,Seoul,24.3,81
384,Seoul,23.1,82
407,Seoul,23.1,83
425,Seoul,23.1,84
451,Seoul,23.1,85
471,Seoul,23.1,86
493,Seoul,23.1,87
513,Seoul,23.09756097560977,88
2323,Seoul,20.817047451669723,89
2329,Seoul,24.3,90
2360,Seoul,24.3,91
2381,Seoul,24.3,92
2406,Seoul,24.3,93
2426,Seoul,24.3,94
2451,Seoul,24.3,95
2473,Seoul,24.3,96
2494,Seoul,20.888640275387377,97
2508,Seoul,24.2,98
4863,Seoul,25.6,99
4884,Seoul,25.6,100
2527,Seoul,20.916382252559846,101
2542,Seoul,24.1,102
2987,Seoul,24.1,103
3000,Seoul,24.1,104
3016,Seoul,24.1,105
3034,Seoul,24.1,106
3059,Seoul,24.1,107
3092,Seoul,24.1,108
3105,Seoul,24.1,109
3125,Seoul,24.1,110
3146,Seoul,24.1,111
3159,Seoul,24.1,112
3193,Seoul,24.1,113
3219,Seoul,24.1,114
3229,Seoul,24.1,115
3242,Seoul,24.1,116
3282,Seoul,24.1,117
3302,Seoul,24.1,118
3323,Seoul,24.1,119
3333,Seoul,24.1,120
3356,Seoul,24.1,121
3387,Seoul,24.1,122
1770,Seoul,20.3,123
1795,Seoul,20.3,124
1826,Seoul,20.3,125
1836,Seoul,20.3,126
1868,Seoul,20.3,127
1885,Seoul,20.3,128
1910,Seoul,20.3,129
1936,Seoul,20.3,130
1949,Seoul,20.3,131
1963,Seoul,20.0,132
1988,Seoul,20.0,133
1989,Seoul,20.0,134
541,Seoul,23.0,135
561,Seoul,23.0,136
2573,Seoul,24.1,137
2590,Seoul,24.1,138
2611,Seoul,24.1,139
2638,Seoul,24.1,140
2662,Seoul,24.1,141
2681,Seoul,24.1,142
2706,Seoul,24.1,143
2722,Seoul,24.1,144
2738,Seoul,24.1,145
2778,Seoul,24.1,146
2788,Seoul,24.1,147
4893,Seoul,25.6,148
4922,Seoul,25.6,149
4948,Seoul,25.6,150
4963,Seoul,25.6,151
4982,Seoul,25.6,152
5011,Seoul,25.6,153
5028,Seoul,25.6,154
5052,Seoul,25.6,155
5070,Seoul,25.6,156
5086,Seoul,25.6,157
5097,Seoul,25.6,158
5123,Seoul,25.6,159
5139,Seoul,25.6,160
5155,Seoul,25.6,161
5179,Seoul,25.6,162
5201,Seoul,25.6,163
