id,city,average_temperature,API-Call
8,Stockholm,28.4,1
28,Stockholm,28.4,2
55,Stockholm,28.4,3
78,Stockholm,28.4,4
98,Stockholm,28.4,5
115,Stockholm,28.4,6
145,Stockholm,28.4,7
2803,Stockholm,21.1,8
2835,Stockholm,21.1,9
2852,Stockholm,21.1,10
2872,Stockholm,21.1,11
2890,Stockholm,21.1,12
2906,Stockholm,21.1,13
2937,Stockholm,21.1,14
2961,Stockholm,21.1,15
6013,Stockholm,21.0,16
164,Stockholm,28.4,17
184,Stockholm,28.4,18
208,Stockholm,28.4,19
4326,Stockholm,21.1,20
4348,Stockholm,21.1,21
4367,Stockholm,21.1,22
4379,Stockholm,21.1,23
4404,Stockholm,21.1,24
4428,Stockholm,21.1,25
4444,Stockholm,21.1,26
4464,Stockholm,21.1,27
4479,Stockholm,21.1,28
4498,Stockholm,21.1,29
4521,Stockholm,21.1,30
4538,Stockholm,21.1,31
4556,Stockholm,21.1,32
4586,Stockholm,21.1,33
4598,Stockholm,21.1,34
4626,Stockholm,21.1,35
4656,Stockholm,21.1,36
4676,Stockholm,21.1,37
4688,Stockholm,21.1,38
4719,Stockholm,21.1,39
1294,Stockholm,19.2,40
1314,Stockholm,19.2,41
1327,Stockholm,19.2,42
1355,Stockholm,19.2,43
1375,Stockholm,19.2,44
1393,Stockholm,19.2,45
1426,Stockholm,19.2,46
1432,Stockholm,19.2,47
1449,Stockholm,19.2,48
1462,Stockholm,19.2,49
1482,Stockholm,19.2,50
1503,Stockholm,19.2,51
227,Stockholm,28.4,52
247,Stockholm,28.4,53
267,Stockholm,28.4,54
274,Stockholm,28.4,55
290,Stockholm,28.4,56
315,Stockholm,28.4,57
334,Stockholm,28.4,58
2522,Stockholm,19.42833052276564,59
2546,Stockholm,21.4,60
4742,Stockholm,21.1,61
4753,Stockholm,21.1,62
4772,Stockholm,21.1,63
4791,Stockholm,21.1,64
4805,Stockholm,21.1,65
4842,Stockholm,21.1,66
4860,Stockholm,21.1,67
4868,Stockholm,21.1,68
2972,Stockholm,21.1,69
2992,Stockholm,21.1,70
3028,Stockholm,21.1,71
3046,Stockholm,21.1,72
3052,Stockholm,21.1,73
3086,Stockholm,21.1,74
3099,Stockholm,21.1,75
3130,Stockholm,21.1,76
3155,Stockholm,21.1,77
3170,Stockholm,21.1,78
3178,Stockholm,21.1,79
3208,Stockholm,21.1,80
3220,Stockholm,21.1,81
3243,Stockholm,21.1,82
3266,Stockholm,21.1,83
3295,Stockholm,21.1,84
3306,Stockholm,21.1,85
1525,Stockholm,19.2,86
1554,Stockholm,19.2,87
1565,Stockholm,19.2,88
1601,Stockholm,19.2,89
1620,Stockholm,19.2,90
1635,Stockholm,19.2,91
1659,Stockholm,19.2,92
1698,Stockholm,19.2,93
1710,Stockholm,19.2,94
1736,Stockholm,19.2,95
1765,Stockholm,19.2,96
2309,Stockholm,19.36968641114987,97
2341,Stockholm,21.1,98
2357,Stockholm,21.1,99
2378,Stockholm,21.1,100
2391,Stockholm,21.1,101
2413,Stockholm,21.1,102
2432,Stockholm,21.1,103
2458,Stockholm,21.1,104
2477,Stockholm,19.40868824531521,105
2495,Stockholm,21.3,106
368,Stockholm,28.4,107
5465,Stockholm,21.0,108
5481,Stockholm,21.0,109
5492,Stockholm,21.0,110
5524,Stockholm,21.0,111
5544,Stockholm,21.0,112
6037,Stockholm,21.0,113
6042,Stockholm,21.0,114
6060,Stockholm,21.0,115
393,Stockholm,28.4,116
412,Stockholm,28.4,117
431,Stockholm,28.4,118
453,Stockholm,28.4,119
477,Stockholm,28.4,120
495,Stockholm,28.4,121
500,Stockholm,28.371428571428552,122
522,Stockholm,28.1,123
5913,Stockholm,21.0,124
5555,Stockholm,19.778638184245754,125
5581,Stockholm,21.0,126
5610,Stockholm,21.0,127
1780,Stockholm,19.2,128
1803,Stockholm,19.2,129
1812,Stockholm,19.2,130
1847,Stockholm,19.2,131
1855,Stockholm,19.2,132
1886,Stockholm,19.2,133
1916,Stockholm,19.2,134
1919,Stockholm,19.1,135
1954,Stockholm,19.1,136
1982,Stockholm,19.1,137
1994,Stockholm,19.1,138
3328,Stockholm,21.1,139
3366,Stockholm,21.1,140
3377,Stockholm,21.1,141
4891,Stockholm,21.1,142
4917,Stockholm,21.1,143
5939,Stockholm,21.0,144
5969,Stockholm,21.0,145
5977,Stockholm,21.0,146
550,Stockholm,28.1,147
569,Stockholm,28.1,148
584,Stockholm,28.1,149
628,Stockholm,28.1,150
633,Stockholm,28.257142857142828,151
667,Stockholm,28.028813559322003,152
674,Stockholm,23.0,153
709,Stockholm,23.0,154
730,Stockholm,23.0,155
737,Stockholm,23.0,156
765,Stockholm,23.0,157
793,Stockholm,23.0,158
814,Stockholm,27.06438356164381,159
830,Stockholm,23.0,160
849,Stockholm,26.803846153846127,161
861,Stockholm,23.0,162
2566,Stockholm,21.4,163
2585,Stockholm,21.4,164
2602,Stockholm,21.4,165
2621,Stockholm,21.4,166
2635,Stockholm,21.4,167
2656,Stockholm,21.4,168
2678,Stockholm,21.4,169
2707,Stockholm,21.4,170
2724,Stockholm,21.4,171
2753,Stockholm,21.1,172
2773,Stockholm,21.1,173
2781,Stockholm,21.1,174
3397,Stockholm,21.1,175
3410,Stockholm,21.1,176
3446,Stockholm,21.1,177
3463,Stockholm,21.1,178
3490,Stockholm,21.1,179
3504,Stockholm,21.1,180
3519,Stockholm,21.1,181
3537,Stockholm,21.1,182
3565,Stockholm,21.1,183
3588,Stockholm,21.1,184
3606,Stockholm,21.1,185
3616,Stockholm,21.1,186
3644,Stockholm,21.1,187
3670,Stockholm,21.1,188
886,Stockholm,26.57195121951217,189
916,Stockholm,19.2,190
937,Stockholm,19.2,191
953,Stockholm,19.2,192
978,Stockholm,19.2,193
1002,Stockholm,19.2,194
1026,Stockholm,19.2,195
1034,Stockholm,19.2,196
1061,Stockholm,19.2,197
1089,Stockholm,19.2,198
1100,Stockholm,19.2,199
2021,Stockholm,19.1,200
2036,Stockholm,19.1,201
2063,Stockholm,19.1,202
2076,Stockholm,19.1,203
2095,Stockholm,19.1,204
2119,Stockholm,19.1,205
2143,Stockholm,19.1,206
2172,Stockholm,19.1,207
2184,Stockholm,19.1,208
2211,Stockholm,19.1,209
2227,Stockholm,19.1,210
2256,Stockholm,19.1,211
3690,Stockholm,21.1,212
3709,Stockholm,21.1,213
3730,Stockholm,21.1,214
3760,Stockholm,21.1,215
3778,Stockholm,21.1,216
3801,Stockholm,21.1,217
4932,Stockholm,21.1,218
4968,Stockholm,21.1,219
4986,Stockholm,21.1,220
4995,Stockholm,21.1,221
5013,Stockholm,21.1,222
5040,Stockholm,21.1,223
5059,Stockholm,21.1,224
5090,Stockholm,21.1,225
5116,Stockholm,21.1,226
5147,Stockholm,21.1,227
5161,Stockholm,21.1,228
5189,Stockholm,21.1,229
5197,Stockholm,21.1,230
5221,Stockholm,21.1,231
5243,Stockholm,21.1,232
5273,Stockholm,21.1,233
5288,Stockholm,21.1,234
5320,Stockholm,21.0,235
5343,Stockholm,21.0,236
5367,Stockholm,21.0,237
5376,Stockholm,21.0,238
1113,Stockholm,19.2,239
1144,Stockholm,19.2,240
