id,city,average_temperature,API-Call
10,Tokyo,23.3,1
30,Tokyo,23.3,2
57,Tokyo,23.3,3
75,Tokyo,23.3,4
100,Tokyo,23.3,5
117,Tokyo,23.3,6
142,Tokyo,23.3,7
2800,Tokyo,24.3,8
2832,Tokyo,24.3,9
2854,Tokyo,24.3,10
2874,Tokyo,24.3,11
2892,Tokyo,24.3,12
2908,Tokyo,24.3,13
2939,Tokyo,24.3,14
2963,Tokyo,24.3,15
6000,Tokyo,24.4,16
6029,Tokyo,24.4,17
166,Tokyo,23.3,18
186,Tokyo,23.3,19
205,Tokyo,23.3,20
4322,Tokyo,24.4,21
4345,Tokyo,24.4,22
4363,Tokyo,24.4,23
4376,Tokyo,24.4,24
4405,Tokyo,24.4,25
4422,Tokyo,24.4,26
4446,Tokyo,24.4,27
4466,Tokyo,24.4,28
4495,Tokyo,24.4,29
4518,Tokyo,24.4,30
4540,Tokyo,24.4,31
4558,Tokyo,24.4,32
4588,Tokyo,24.4,33
4600,Tokyo,24.4,34
4628,Tokyo,24.4,35
4658,Tokyo,24.4,36
4678,Tokyo,24.4,37
4690,Tokyo,24.4,38
4721,Tokyo,24.4,39
1296,Tokyo,22.3,40
1319,Tokyo,22.3,41
1324,Tokyo,22.3,42
1357,Tokyo,22.3,43
1377,Tokyo,22.3,44
1390,Tokyo,22.3,45
1428,Tokyo,22.3,46
1447,Tokyo,22.3,47
1464,Tokyo,22.3,48
1484,Tokyo,22.3,49
1500,Tokyo,22.3,50
229,Tokyo,23.3,51
249,Tokyo,23.3,52
265,Tokyo,23.3,53
276,Tokyo,23.3,54
292,Tokyo,23.3,55
312,Tokyo,23.3,56
336,Tokyo,23.3,57
2524,Tokyo,22.374149659863942,58
2547,Tokyo,24.0,59
4739,Tokyo,24.4,60
4748,Tokyo,24.4,61
4770,Tokyo,24.4,62
4793,Tokyo,24.4,63
4807,Tokyo,24.4,64
4839,Tokyo,24.4,65
4857,Tokyo,24.4,66
4865,Tokyo,24.4,67
2974,Tokyo,24.3,68
2994,Tokyo,24.3,69
3025,Tokyo,24.3,70
3048,Tokyo,24.3,71
3054,Tokyo,24.3,72
3088,Tokyo,24.3,73
3101,Tokyo,24.3,74
