id,city,average_temperature,API-Call
1,Venice,27.3,1
22,Venice,27.3,2
43,Venice,27.3,3
83,Venice,27.3,4
104,Venice,27.3,5
126,Venice,27.3,6
147,Venice,27.3,7
1283,Venice,26.2,8
1309,Venice,26.2,9
1343,Venice,26.2,10
1350,Venice,26.2,11
1385,Venice,26.2,12
1387,Venice,26.2,13
1420,Venice,26.2,14
1429,Venice,26.2,15
1477,Venice,26.2,16
1478,Venice,26.2,17
1516,Venice,26.2,18
2805,Venice,29.1,19
2830,Venice,29.1,20
2862,Venice,29.1,21
2877,Venice,29.1,22
2895,Venice,29.1,23
2918,Venice,29.1,24
2930,Venice,29.1,25
2953,Venice,29.1,26
4723,Venice,29.0,27
4760,Venice,29.0,28
4780,Venice,29.0,29
4788,Venice,29.0,30
4822,Venice,29.0,31
4823,Venice,29.0,32
4856,Venice,29.0,33
4883,Venice,29.0,34
168,Venice,27.3,35
189,Venice,27.3,36
210,Venice,27.3,37
231,Venice,27.3,38
252,Venice,27.3,39
277,Venice,27.3,40
295,Venice,27.3,41
311,Venice,27.3,42
337,Venice,27.3,43
4329,Venice,29.0,44
4350,Venice,29.0,45
4368,Venice,29.0,46
4383,Venice,29.0,47
4413,Venice,29.0,48
4414,Venice,29.0,49
4455,Venice,29.0,50
4472,Venice,29.0,51
4489,Venice,29.0,52
4511,Venice,29.0,53
4531,Venice,29.0,54
4551,Venice,29.0,55
4572,Venice,29.0,56
4576,Venice,29.0,57
4597,Venice,29.0,58
4624,Venice,29.0,59
4645,Venice,29.0,60
4667,Venice,29.0,61
4685,Venice,29.0,62
4722,Venice,29.0,63
1520,Venice,26.2,64
1550,Venice,26.2,65
1582,Venice,26.2,66
1588,Venice,26.2,67
1619,Venice,26.2,68
1634,Venice,26.2,69
1651,Venice,26.2,70
1672,Venice,26.2,71
1688,Venice,26.2,72
1718,Venice,26.2,73
1735,Venice,26.2,74
1758,Venice,26.2,75
2968,Venice,29.1,76
2990,Venice,29.1,77
3030,Venice,29.1,78
3051,Venice,29.1,79
3072,Venice,29.1,80
3085,Venice,29.1,81
3103,Venice,29.1,82
3115,Venice,29.1,83
3136,Venice,29.1,84
3176,Venice,29.1,85
3197,Venice,29.1,86
3206,Venice,29.1,87
3231,Venice,29.1,88
3254,Venice,29.1,89
3262,Venice,29.1,90
3303,Venice,29.1,91
3312,Venice,29.1,92
3340,Venice,29.1,93
3357,Venice,29.1,94
3382,Venice,29.1,95
2478,Venice,26.349317406143353,96
